1.0101,"Agric Bus & Mgmt, Genl",1.0101,"Agricultural Business & Management, General"
1.0103,Agricultural Economics,1.0103,Agricultural Economics
1.0199,"Agric Bus & Mgmt, Other",1.0199,"Agricultural Business & Management, Other"
1.0201,"Agricul Mechanics, Genl",1.0201,"Agricultural Mechanization, General"
1.0301,Agricultural Technology,1.0301,"Agricultural Production Workers & Managers, General"
1.0507,Horse Handling & Care,1.0507,"Equestrian/Equine Studies, Horse Management & Training"
1.0701,International Agricul,1.0701,International Agriculture
2.0101,"Agricultural Sci, Genl",2.0101,"Agriculture/Agricultural Sciences, General"
2.0201,"Animal Sciences, Genl",2.0201,"Animal Sciences, General"
2.0206,Dairy,2.0206,Dairy Science
2.0209,Poultry,2.0209,Poultry Science
2.0299,"Animal Sciences, Other",2.0299,"Animal Sciences, Other"
2.0301,Food Science,2.0301,Food Sciences & Technology
2.0401,"Plant Sciences, General",2.0401,"Plant Sciences, General"
2.0402,Agronomy,2.0402,Agronomy & Crop Science
2.0403,Horticulture Science,2.0403,Horticulture Science
3.0101,Renewable Nat Resources,3.0101,"Natural Resources Conservation, General"
3.0201,"Conservation & Reg, Gen",3.0201,Natural Resources Management & Policy
3.0299,"Nat Res Mgmt, Other",3.0299,"Natural Resources Management & Protective Services, Other"
3.0401,Forestry Prod & Process,3.0401,Forest Harvesting & Production Technology/Technician
3.0404,Forest Prod Proces Tech,3.0404,Forest Products Technology/Technician
3.0501,Forestry*,3.0501,"Forestry, General"
4.0201,Architecture,4.0201,Architecture
4.0301,"City, Comm & Reg Plan",4.0301,"City/Urban, Community & Regional Planning"
4.0401,Environmental Design,4.0401,Architectural Environmental Design
4.0501,Interior Design,4.0501,Interior Architecture
4.0601,Landscape Architecture,4.0601,Landscape Architecture
4.0701,Urban Design,4.0701,Architectural Urban Design & Planning
4.9999,"Arch & Envir Des, Other",4.9999,"Architecture & Related Programs, Other"
5.0101,African Studies,5.0101,African Studies
5.0102,American Studies,5.0102,American Studies/Civilization
5.0103,"Asian Studies, General",5.0103,Asian Studies
5.0104,East Asian Studies,5.0104,East Asian Studies
5.0106,"European Studies, Genl",5.0106,European Studies
5.0107,Latin American Studies,5.0107,Latin American Studies
5.0110,Russian & Slavic Studs,5.0110,Russian & Slavic Area Studies
5.0114,Western European Studs,5.0114,Western European Studies
5.0199,"Area Studies, Other",5.0199,"Area Studies, Other"
5.0201,Afro-Amer (Black) Stud,5.0201,Afro-American (Black) Studies
5.9999,"Area & Ethnic St, Other",5.9999,"Area, Ethnic & Cultural Studies, Other"
6.0101,"Business & Mgmt, Genl",52.0101,"Business, General"
6.0201,Accounting,52.0301,Accounting
6.0301,Banking & Finance,52.0801,"Finance, General"
6.0401,Business Administration,52.0201,"Business Administration & Management, General"
6.0402,Contract Mgt/Purchasing,52.0202,"Purchasing, Procurement & Contracts Management"
6.0403,Product Management,52.0205,Operations Management & Supervision
6.0499,Business Administration,52.0299,"Business Administration & Management, Other"
6.0501,Business Economics,52.0601,Business/Managerial Economics
6.0601,Human Resources Develop,52.1001,Human Resources Management
6.0701,Hotel/Motel Management,52.0902,Hotel/Motel & Restaurant Management
6.0705,Transportation Mgmt,52.0903,Travel-Tourism Management
6.0799,"Institutional Mgmt, Oth",52.0999,"Hospitality Services Management, Other"
6.0801,Insurance and Risk Mgmt,52.0805,Insurance & Risk Management
6.0901,International Business,52.1101,International Business
6.1201,Management Information,52.1201,"Management Info Systems & Bus Data Processing, General"
6.1302,Operations Res (Quant),27.0302,Operations Research
6.1303,"Management Science, Gen",52.1301,Management Science
6.1399,"Management Science, Oth",52.1399,"Business Quantitative Methods & Management Science, Other"
6.1401,Marketing Management,52.1401,Business Marketing & Marketing Management
6.1402,Marketing Research,52.1402,Marketing Research
6.1501,Organizational Behavior,52.1003,Organizational Behavior Studies
6.1601,Personnel Management,52.1001,Human Resources Management
6.1701,Real Estate,52.1501,Real Estate
6.1801,Enterprise Mgmt & Oper,52.0701,"Enterprise Management & Operation, General"
6.1901,Taxation,52.1601,Taxation
6.2001,Trade & Industrial Mgmt,52.0205,Operations Management & Supervision
6.9999,"Business & Mgmt, Other",52.9999,"Business Management & Administrative Services, Other"
7.0101,"Acct, Bookkeep, Rel Pro",52.0302,Accounting Technician
7.0102,Accounting & Computing,52.0302,Accounting Technician
7.0103,Bookkeeping,52.0302,Accounting Technician
7.0301,"Bus, Data Proc, Rel Pro",52.1201,"Management Info Systems & Bus Data Processing, General"
7.0303,Bus Data Entry Equip Op,52.0407,Information Processing/Data Entry Technician
7.0401,Office Superv & Mgmt,52.0204,Office Supervision & Management
7.0599,Personnel & Train Prog,52.1099,"Human Resources Management, Other"
7.0601,Secrt & Related Prog,52.0401,"Administrative Assistant/Secretarial Science, General"
7.0603,Executive Secretarial,52.0402,Executive Assistant/Secretary
7.0604,Legal Secretarial,52.0403,Legal Administrative Assistant/Secretary
7.0605,Medical Secretarial,52.0404,Medical Administrative Assistant/Secretary
7.0606,Secretarial,52.0401,"Administrative Assistant/Secretarial Science, General"
7.0699,"Secrt & Rel Prog, Other",52.0499,"Administrative & Secretarial Services, Other"
7.0701,"Typing, Gen Office, Gen",52.0408,General Office/Clerical & Typing Services
7.9999,"Business (Adm Sup), Oth",52.9999,"Business Management & Administrative Services, Other"
8.0101,Apparel & Accessor Mktg,8.0101,"Apparel & Accessories Marketing Operations, General"
8.0102,Fashion Merchandising,8.0102,Fashion Merchandising
8.0201,Bus/Personal Ser Mktg,8.0299,"Business & Personal Services Marketing Operations, Other"
8.0601,"Food Marketing, General",8.0601,Food Products Retailing & Wholesaling Operations
8.0705,Retailing,8.0705,General Retailing Operations
8.0901,Hospitality & Rec Mktg,8.0901,"Hospitality & Recreation Marketing Operations, General"
8.1101,"Trans & Trav Mktg, Gen",8.1199,"Tourism & Travel Services Marketing Operations, Other"
8.1104,Tourism,8.1104,Tourism Promotion Operations
8.9999,"""Marketing & Dist",8.9999,"Marketing Operations/Marketing & Distribution, Other"
9.0101,"Communications, General",9.0101,"Communications, General"
9.0401,Journalism (Mass Comm),9.0401,Journalism
9.0501,Public Relations,9.0501,Public Relations & Organizational Communications
9.0601,Radio/TV News Brdcs,9.0402,Broadcast Journalism
9.0801,Telecommunications,9.9999,"Communications, Other"
9.9999,"Communications, Other",9.9999,"Communications, Other"
10.0104,Radio & TV Prod & Brdcs,10.0104,Radio & Television Broadcasting Technology/Technician
11.0101,Computer & Info Sci Gen,11.0101,"Computer & Information Sciences, General"
11.0201,Computer Programming,11.0201,Computer Programming
11.0301,Data Processing,11.0301,Data Processing Technology/Technician
11.0401,Information Sci & Syst,11.0401,Information Sciences & Systems
11.0501,Systems Analysis,11.0501,Computer Systems Analysis
11.9999,Computer & Information,11.9999,"Computer & Information Sciences, Other"
12.0301,Funeral Services,12.0301,Funeral Services & Mortuary Science
13.0101,"Education, General",13.0101,"Education, General"
13.0301,Curriculum and Instr,13.0301,Curriculum & Instruction
13.0401,Educational Admin,13.0401,"Education Administration & Supervision, General"
13.0402,Admin of Special Educ,13.0402,Administration of Special Education
13.0404,Educational Supervision,13.0404,Educational Supervision
13.0406,Higher Education Admin,13.0406,Higher Education Administration
13.0407,Comm College Education,13.0407,Community & Junior College Administration
13.0499,"Ed Admin & Sup, Other",13.0499,"Education Administration & Supervision, Other"
13.0501,Educational Media,13.0501,Educational/Instructional Media Design
13.0603,Educational Statistics,13.0603,Educational Statistics & Research Methods
13.0701,Ed Policy Studies,13.0701,International & Comparative Education
13.0801,School Psychology,13.0802,Educational Psychology
13.1001,"Special Education, Genl",13.1001,"Special Education, General"
13.1003,Ed of Hearing Impaired,13.1003,Education of the Deaf & Hearing Impaired
13.1004,Education of the Gifted,13.1004,Education of the Gifted & Talented
13.1005,Ed of Emotional Handic,13.1005,Education of the Emotionally Handicapped
13.1006,Ed of Mental Handicap,13.1006,Education of the Mentally Handicapped
13.1007,Ed of Multiple Handicap,13.1007,Education of the Multiple Handicapped
13.1008,Ed of Physically Handic,13.1008,Education of the Physically Handicapped
13.1011,Specific Learning Disab,13.1011,Education of the Specific Learning Disabled
13.1012,Speech Correction,13.1012,Education of the Speech Impaired
13.1099,"Special Educ., Other",13.1099,"Special Education, Other"
13.1101,Stud Couns & Personnel,13.1101,Counselor Education/Student Counseling & Guidance Services
13.1201,Adult and Continuing Ed,13.1201,Adult & Continuing Teacher Education
13.1202,Elementary Education,13.1202,Elementary Teacher Education
