CIP1990,CIPTITLE1990,CIP2000,CIPTITLE2000
1,Agricultural Business and Production,01.,"Agriculture, Agriculture Operations, and Related Sciences"
,,01.00,"Agriculture, General (NEW)"
1.01,Agricultural Business and Management,01.01,Agricultural Business and Management
1.0101,"Agricultural Business and Management, General",01.0101,"Agricultural Business and Management, General"
1.0102,Agricultural Business/Agribusiness Operations,01.0102,Agribusiness/Agricultural Business Operations
1.0103,Agricultural Economics,01.0103,Agricultural Economics
1.0104,Farm and Ranch Management,01.0104,Farm/Farm and Ranch Management
,,01.0106,Agricultural Business Technology (NEW)
1.0199,"Agricultural Business and Management, Other",01.0199,"Agricultural Business and Management, Other"
1.02,Agricultural Mechanization,01.02,Agricultural Mechanization
1.0201,"Agricultural Mechanization, General",01.0201,"Agricultural Mechanization, General"
1.0204,Agricultural Power Machinery Operator,01.0204,Agricultural Power Machinery Operation
,,01.0205,Agricultural Mechanics and Equipment/Machine Technology (NEW)
1.0299,"Agricultural Mechanization, Other",01.0299,"Agricultural Mechanization, Other"
1.03,Agricultural Production Workers and Managers,01.03,Agricultural Production Operations
1.0301,"Agricultural Production Workers and Managers, General",01.0301,"Agricultural Production Operations, General"
1.0302,Agricultural Animal Husbandry and Production Management,01.0302,Animal/Livestock Husbandry and Production
1.0303,Aquaculture Operations and Production Management,01.0303,Aquaculture
1.0304,Crop Production Operations and Management,01.0304,Crop Production
,,01.0306,Dairy Husbandry and Production (NEW)
,,01.0307,Horse Husbandry/Equine Science and Management (NEW)
1.0399,"Agricultural Production Workers and Managers, Other",01.0399,"Agricultural Production Operations, Other"
1.04,Agricultural and Food Products Processing Operations and Management,01.04,Agricultural and Food Products Processing Management
1.0401,Agricultural and Food Products Processing Operations and Management,01.0401,Agricultural and Food Products Processing
1.05,Agricultural Supplies and Related Services,01.05,Agricultural and Domestic Animal Services
1.0501,Agricultural Supplies Retailing and Wholesaling,01.0105,Agricultural/Farm Supplies Retailing and Wholesaling
,,01.0504,Dog/Pet/Animal Grooming (NEW)
1.0505,Animal Trainer,01.0505,Animal Training
1.0507,"Equestrian/Equine Studies, Horse Management and Training",01.0507,Equestrian/Equine Studies
,,01.0508,Taxidermy/Taxidermist (NEW)
1.0599,"Agricultural Supplies and Related Services, Other",01.0599,"Agricultural and Domestic Animals Services, Other"
1.06,"Horticulture Services Operations and Management, General",01.06,Applied Horticulture/Horticultural Business Services
1.0601,"Horticulture Services Operations and Management, General",01.0601,"Applied Horticulture/Horticultural Operations, General"
1.0603,Ornamental Horticulture Operations and Management,01.0603,Ornamental Horticulture
1.0604,Greenhouse Operations and Management,01.0604,Greenhouse Operations and Management
1.0605,Landscaping Operations and Management,01.0605,Landscaping and Groundskeeping
1.0606,Nursery Operations and Management,01.0606,Plant Nursery Operations and Management
1.0607,Turf Management,01.0607,Turf and Turfgrass Management
,,01.0608,Floriculture/Floristry Operations and Management (NEW)
1.0699,"Horticulture Services Operations and Management, Other",01.0699,"Applied Horticulture/Horticultural Business Services, Other"
1.07,International Agricultural,01.07,International Agriculture
1.0701,International Agriculture,01.0701,International Agriculture
,,01.08,Agricultural Public Services (NEW)
,,01.0802,Agricultural Communication/Journalism (NEW)
,,01.0899,"Agricultural Public Services, Other (NEW)"
2,AGRICULTURAL SCIENCES,Deleted,Report Under 01. and 26. Series
2.01,Agriculture/Agricultural Sciences,,Deleted
2.0101,"Agriculture/Agricultural Sciences, General",01.0000,"Agriculture, General"
2.0102,Agricultural Extension,01.0801,Agricultural and Extension Education Services
2.02,Animal Sciences,01.09,Animal Sciences
2.0201,"Animal Sciences, General",01.0901,"Animal Sciences, General"
2.0202,Agricultural Animal Breeding and Genetics,01.0902,Agricultural Animal Breeding
2.0203,Agricultural Animal Health,01.0903,Animal Health
2.0204,Agricultural Animal Nutrition,01.0904,Animal Nutrition
2.0205,Agricultural Animal Physiology,26.0706,Animal Physiology
2.0206,Dairy Science,01.0905,Dairy Science
,,01.0906,Livestock Management (NEW)
2.0209,Poultry Science,01.0907,Poultry Science
2.0299,"Animal Sciences, Other",01.0999,"Animal Sciences, Other"
2.03,Food Sciences and Technology,01.10,Food Science and Technology
2.0301,Food Sciences and Technology,01.1001,Food Science
,,01.1002,Food Technology and Processing (NEW)
,,01.1099,"Food Science and Technology, Other (NEW)"
2.04,Plant Sciences,Deleted,Report under 01.11
2.0401,"Plant Sciences, General",01.1101,"Plant Sciences, General"
2.0402,Agronomy and Crop Science,01.1102,Agronomy and Crop Science
2.0403,Horticulture Science,01.1103,Horticultural Science
2.0405,Plant Breeding and Genetics,01.1104,Agricultural and Horticultural Plant Breeding(NEW)
2.0406,Agricultural Plant Pathology,26.0305,Plant Pathology/Phytopathology
2.0407,Agricultural Plant Physiology,26.0307,Plant Physiology
2.0408,Plant Protection (Pest Management),01.1105,Plant Protection & Integrated Pest Management
2.0409,Range Science and Management,01.1106,Range Science and Management
2.0499,"Plant Sciences, Other",01.1199,"Plant Sciences, Other"
2.05,Soil Sciences,01.12,Soil Sciences
2.0501,Soil Sciences,01.1201,"Soil Science and Agronomy, General"
2.99,"Agriculture/Agricultural Sciences, Other",01.99,"Agriculture, Agriculture Operations and Related Sciences, Other"
2.9999,"Agriculture/Agricultural Sciences, Other",01.9999,"Agriculture, Agriculture Operations and Related Sciences, Other"
3,CONSERVATION AND RENEWABLE NATURAL RESOURCES,03.,NATURAL RESOURCES AND CONSERVATION
3.01,Natural Resources Conservation,03.01,Natural Resources Conservation and Research
3.0101,"Natural Resources Conservation, General",03.0101,"Natural Resources/Conservation, General"
3.0102,Environmental Science/Studies,03.0103,Environmental Studies. (NEW)
,,03.0104,Environmental Science (NEW)
,,03,"03.0199 Natural Resources Conservation and Research, Other (NEW)"
3.02,Natural Resources Management and Protective Services,03.02,Natural Resources Management and Policy
3.0201,Natural Resources Management and Policy,03.0201,Natural Resources Management and Policy
3.0203,Natural Resources Law Enforcement and Protective Services,03.0299,Natural Resources Management/Development
,,03.0204,Natural Resource Economics (NEW)
,,03.0205,"Water, Wetlands, and Marine Resources Management (NEW)"
,,03.0206,Land Use Planning and Management/Development (NEW)
3.0299,"Natural Resources Management and Protective Services, Other",03.0299,"Natural Resources Management and Policy, Other"
3.03,Fishing and Fisheries Sciences and Management,03.03,Fishing and Fisheries Sciences and Management
3.0301,Fishing and Fisheries Sciences and Management,03.0301,Fishing and Fisheries Sciences and Management
3.04,Forest Production and Processing,,Deleted
3.0401,Forest Harvesting and Production Technology/Technician,03.0511,Forestry Technology/Technician (NEW)
3.0404,Forest Products Technology/Technician,03.0511,Forestry Technology/Technician (NEW)
3.0405,Logging/Timber Harvesting,03.0599,"Forestry, Other"
3.0499,"Forest Production and Processing, Other",03.0599,"Forestry, Other"
3.05,Forestry and Related Sciences,03.05,Forestry
3.0501,"Forestry, General",03.0501,"Forestry, General"
3.0502,Forestry Sciences,03.0502,Forest Sciences and Biology
3.0506,Forest Management,03.0506,Forest Management/ Forest Resources Management
,,03.0508,Urban Forestry (NEW)
3.0509,Wood Science and Pulp/Paper Technology,03.0509,Wood Science and Wood Products/Pulp and Paper Technology
3.0599,"Forestry and Related Sciences, Other",03.0599,"Forestry, Other"
3.06,Wildlife and Wildlands Management,03.06,Wildlife and Wildlands Science and Management
3.0601,Wildlife and Wildlands Management,03.0601,Wildlife and Wildlands Science and Management
3.99,"Conservation and Renewable Natural Resources, Other",03.99,"Natural Resources and Conservation, Other"
3.9999,"Conservation and Renewable Natural Resources, Other",03.9999,"Natural Resources and Conservation, Other"
4,ARCHITECTURE AND RELATED PROGRAMS,04.,ARCHITECTURE AND RELATED SERVICES
4.02,Architecture,04.02,Architecture
4.0201,Architecture,04.0201,"Architecture (BArch, BA/BS, MArch, MA/MS, PhD)"
