CIPFamily,CIPCode,Type,General,TextChange,CIPTitle,CIPDefinition,CrossReferences,Examples
01,01,Agriculture,Pre-professional,no,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.","Instructional programs that focus on agriculture and related sciences and that prepare individuals to apply specific knowledge, methods, and techniques to the management and performance of agricultural operations.",,
01,01.00,Agriculture,Pre-professional,no,"Agriculture, General.",Instructional content is defined in code 01.0000.,,
01,01.0000,Agriculture,Pre-professional,no,"Agriculture, General.","A program that focuses on the general principles and practice of agricultural research and production and that may prepare individuals to apply this knowledge to the solution of practical agricultural problems.  Includes instruction in basic animal, plant, and soil science; animal husbandry and plant cultivation; soil conservation; and agricultural operations such as farming, ranching, and agricultural business.",14.0301 - Agricultural Engineering.,
01,01.01,Agriculture,Pre-professional,no,Agricultural Business and Management.,Instructional content for this group of programs is defined in codes 01.0101 - 01.0199.,,
01,01.0101,Agriculture,Pre-professional,no,"Agricultural Business and Management, General.","A  general program that focuses on modern business and economic principles involved in the organization, operation, and management of agricultural enterprises.",,
01,01.0102,Agriculture,Pre-professional,no,Agribusiness/Agricultural Business Operations.,"A program that prepares individuals to manage agricultural businesses and agriculturally related operations within diversified corporations.  Includes instruction in agriculture, agricultural specialization, business management, accounting, finance, marketing, planning, human resources management, and other managerial responsibilities.",,Examples: - Agricultural Systems Management
01,01.0103,Agriculture,Pre-professional,no,Agricultural Economics.,"A program that focuses on the application of economics to the analysis of resource allocation, productivity, investment, and trends in the agricultural sector, both domestically and internationally.  Includes instruction in economics and related subfields as well as applicable agricultural fields.",03.0204 - Natural Resource Economics.,Examples: - Agricultural Systems Management
01,01.0104,Agriculture,Pre-professional,no,Farm/Farm and Ranch Management.,"A program that prepares individuals to manage farms, ranches, and similar enterprises.  Includes instruction in applicable agricultural specialization, business management, accounting, taxation, capitalization, purchasing, government programs and regulations, operational planning and budgeting, contracts and negotiation, and estate planning.",,Examples: - Agricultural Systems Management
01,01.0105,Agriculture,Pre-professional,no,Agricultural/Farm Supplies Retailing and Wholesaling.,"A program  that prepares individuals to sell agricultural products and supplies, provide support services to agricultural enterprises, and purchase and market agricultural products.  Includes instruction in basic business management, marketing, retailing and wholesaling operations, and applicable principles of agriculture and agricultural operations.",,Examples: - Agricultural Systems Management
01,01.0106,Agriculture,Pre-professional,no,Agricultural Business Technology.,"A program that prepares individuals to perform specialized support functions related to agricultural business offices and operations and to operate agricultural office equipment, software, and information systems.  Includes instruction in basic agricultural business principles, office management, equipment operation, standard software, and database management.",,Examples: - Agricultural Systems Management
01,01.0199,Agriculture,Pre-professional,no,"Agricultural Business and Management, Other.",Any instructional program in agricultural business and management not listed above.,,Examples: - Agricultural Systems Management
01,01.02,Agriculture,Pre-professional,no,Agricultural Mechanization.,Instructional content for this group of programs is defined in codes 01.0201 - 01.0299.,,Examples: - Agricultural Systems Management
01,01.0201,Agriculture,Pre-professional,no,"Agricultural Mechanization, General.","A program that generally prepares individuals to sell, select, and service agricultural or agribusiness technical equipment and facilities, including computers, specialized software, power units, machinery, equipment structures, and utilities.  Includes instruction in agricultural power systems, planning and selecting materials for the construction of support facilities, mechanical practices associated with irrigation and water conservation, erosion control, and agricultural data processing systems.",,Examples: - Agricultural Systems Management
01,01.0204,Agriculture,Pre-professional,no,Agricultural Power Machinery Operation.,"A program that prepares individuals to operate specialized farm, ranch, and agribusiness power equipment of a stationary, mobile, and/or hand-operated nature.  Includes instruction in operating specialized equipment such as terrestrial and airborne crop-spraying equipment; tractors and hauling equipment; planting and harvesting equipment; cutting equipment; power sources and systems for silos, irrigation, pumping, and applications such as dairy, feeding and shearing operations; processing equipment; and applicable electrical, mechanical, and safety principles.",49.0202 - Construction/Heavy Equipment/Earthmoving Equipment Operation.,Examples: - Agricultural Systems Management
01,01.0205,Agriculture,Pre-professional,no,Agricultural Mechanics and Equipment/Machine Technology.,"A program that prepares individuals to maintain and repair specialized farm, ranch, and agribusiness power equipment and vehicles.  Includes instruction in the principles of diesel, combustion, electrical, steam, hydraulic, and mechanical systems and their application to the maintenance of terrestrial and airborne crop-spraying equipment; tractors and hauling equipment; planting and harvesting equipment; cutting equipment; power sources and systems for silos; irrigation and pumping equipment; dairy, feeding, and shearing operations; and processing systems.",,"Examples: - Agricultural Equipment Mechanic, - Agricultural Equipment Technician, - Agricultural Machinery Technician, - Farm Equipment Service Technician"
01,01.0299,Agriculture,Pre-professional,no,"Agricultural Mechanization, Other.",Any instructional program in agricultural mechanization not listed above.,,Examples: - Agricultural Irrigation
01,01.03,Agriculture,Pre-professional,no,Agricultural Production Operations.,Instructional content for this group of programs is defined in codes 01.0301 - 01.0399.,,Examples: - Agricultural Irrigation
01,01.0301,Agriculture,Pre-professional,no,"Agricultural Production Operations, General.","A program that focuses on the general planning, economics, and use of facilities, natural resources, equipment, labor, and capital to produce plant and animal products, and that may prepare individuals for work in farming, ranching, and agribusiness.",,Examples: - Agricultural Irrigation
01,01.0302,Agriculture,Pre-professional,no,Animal/Livestock Husbandry and Production.,"A program that prepares individuals to select, breed, care for, process, and market livestock and small farm animals.  Includes instruction in basic animal science, animal nutrition, and animal health as applied to various species and breeds; design and operation of housing, feeding, and processing facilities; and related issues of safety, applicable regulations, logistics, and supply.",,Examples: - Agricultural Irrigation
01,01.0303,Agriculture,Pre-professional,no,Aquaculture.,"A program that prepares individuals to select, culture, propagate, harvest, and market domesticated fish, shellfish, and marine plants, both freshwater and saltwater.  Includes instruction in the basic principles of aquatic and marine biology; health and nutrition of aquatic and marine life; design and operation of fish farms, breeding facilities, culture beds, and related enterprises; and related issues of safety, applicable regulations, logistics, and supply.",,Examples: - Agricultural Irrigation
01,01.0304,Agriculture,Pre-professional,no,Crop Production.,"A program that prepares individuals to cultivate grain, fiber, forage, oilseed, fruits and nuts, vegetables, and other domesticated plant products.  Includes instruction in basic principles of plant science, health, and nutrition as applied to particular species and breeds; soil preparation and irrigation; pest management; planting and harvesting operations; product marketing; and applicable issues of safety, regulation, logistics, and supply.",,Examples: - Agricultural Irrigation
01,01.0306,Agriculture,Pre-professional,no,Dairy Husbandry and Production.,"A program that prepares individuals to manage the selection and care of dairy animals and associated dairy farm and processing facilities and operations.  Includes instruction in basic animal and dairy science; dairy animal nutrition and health; design and operation of dairy housing, feeding, and processing facilities and equipment; and related issues of safety, sanitation, shipping and handling, and applicable regulations.",,Examples: - Agricultural Irrigation
01,01.0307,Agriculture,Pre-professional,no,Horse Husbandry/Equine Science and Management.,"A program that prepares individuals to manage the selection, breeding, care, and maintenance of work, athletic, and show horses; and to manage horse farms, stables, tracks and related equipment and operations.  Includes instruction in applicable principles of animal science, care, and health; stable and track management; design and operation of facilities and equipment; and related issues such as regulations, business management; and logistics.",,Examples: - Agricultural Irrigation
