"Degree Program Code Catalog, page 1",,,,
Academic and Professional Fields Used at Each Degree Level,,,,
"In an effort to provide the most useful points for comparison, the Humanities Indicators (HI) use a slightly different mix of academic and professional fields at each degree level. As shown on the next worksheet, each of the six-digit degree categories in the Department of Education's Classification of Instructional Programs (CIP) is assigned to one of the fields below depending on the degree level. 

All data for the period 1987 onward are derived from the National Science Foundation's (NSF) online data system, WebCASPAR, using the IPEDS Completions Survey tables. Users wishing to replicate the HI's degree counts should select ""Degrees Conferred (NSF population of institutions)"" as their analysis variable. For helpful information on how to use WebCASPAR effectively, visit the site's ""Tutorials Page"" at https://ncsesdata.nsf.gov/webcaspar/Help/tutorial.jsp?subHeader=Tutorial. ",,,,
Associate's Degrees,Bachelor's Degrees,Master's and Professional Degrees,Doctoral Degrees,
Humanities,Humanities,Humanities,Humanities,
Natural Sciences & Health/Medical,Behavioral & Social Sciences,Behavioral & Social Sciences,Behavioral & Social Sciences,
Vocational/Professional (includes Engineering & Arts),Business & Management,Business & Management,Business & Management,
Other/Unknown (includes Behavioral & Social Sciences),Education,Education ,Education,
,Engineering,Engineering,Engineering,
,Fine & Performing Arts,Fine & Performing Arts,Fine & Performing Arts,
,Health & Medical ,Health & Medical ,Health & Medical ,
,Natural Sciences,Law,Natural Sciences,
,Other/Unknown,Natural Sciences,Other/Unknown,
,,Other/Unknown,,
