CIPCODE,CIPTitle,Discipline,Historical Categories,Associates, Bachelors,Masters,Doctoral
1.0101,"Agricultural Business and Management, General",Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0102,Agribusiness/Agricultural Business Operations,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0103,Agricultural Economics,Economics,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
1.0104,Farm/Farm and Ranch Management,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0105,Agricultural/Farm Supplies Retailing and Wholesaling,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0106,Agricultural Business Technology,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0199,"Agricultural Business and Management, Other",Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0201,"Agricultural Mechanization, General",Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.0204,Agricultural Power Machinery Operation,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.0205,Agricultural Mechanics and Equipment/Machine Technology,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.0299,"Agricultural Mechanization, Other",Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.0301,"Agricultural Production Operations, General",Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0302,Animal/Livestock Husbandry and Production,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0303,Aquaculture,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0304,Crop Production,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0306,Dairy Husbandry and Production,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0307,Horse Husbandry/Equine Science and Management,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0308,Agroecology and Sustainable Agriculture,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.0309,Viticulture and Enology,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0399,"Agricultural Production Operations, Other",Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0401,Agricultural and Food Products Processing,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0504,Dog/Pet/Animal Grooming,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0505,Animal Training,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0507,Equestrian/Equine Studies,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0508,Taxidermy/Taxidermist,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.0599,"Agricultural and Domestic Animals Services, Other",Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0601,"Applied Horticulture/Horticultural Operations, General",Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0603,Ornamental Horticulture,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0604,Greenhouse Operations and Management,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0605,Landscaping and Groundskeeping,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0606,Plant Nursery Operations and Management,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0607,Turf and Turfgrass Management,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0608,Floriculture/Floristry Operations and Management,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0699,"Applied Horticulture/Horticultural Business Services, Other",Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0701,International Agriculture,Agriculture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
1.0801,Agricultural and Extension Education Services,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.0802,Agricultural Communication/Journalism,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.0899,"Agricultural Public Services, Other",Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.0901,"Animal Sciences, General",Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.0902,Agricultural Animal Breeding,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.0903,Animal Health,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.0904,Animal Nutrition,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.0905,Dairy Science,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.0906,Livestock Management,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.0907,Poultry Science,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.0999,"Animal Sciences, Other",Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.1001,Food Science,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.1002,Food Technology and Processing,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.1099,"Food Science and Technology, Other",Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.1101,"Plant Sciences, General",Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.1102,Agronomy and Crop Science,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.1103,Horticultural Science,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.1104,Agricultural and Horticultural Plant Breeding,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.1105,Plant Protection & Integrated Pest Management,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.1106,Range Science and Management,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.1199,"Plant Sciences, Other",Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.1201,"Soil Science and Agronomy, General",Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.1202,Soil Chemistry and Physics,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.1299,"Soil Sciences, Other",Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
1.9999,"Agriculture, Agriculture Operations and Related Sciences, Other",Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
2.0205,Agricultural Animal Physiology,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
2.0406,Agricultural Plant Pathology,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
2.0407,Agricultural Plant Physiology,Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
2.9999,"Agriculture/Agricultural Sciences, Other",Agriculture,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0101,"Natural Resources/Conservation, General",Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0102,Environmental Science/Studies,Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0103,Environmental Studies,Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
