"CIPCode2000","CIPTitle2000","Action","Text change","CIPCode2010","CIPTitle2010"
="01","AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.","No substantive changes",no,="01","AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES."
="01.00","Agriculture, General.","No substantive changes",no,="01.00","Agriculture, General."
="01.0000","Agriculture, General.","No substantive changes",no,="01.0000","Agriculture, General."
="01.01","Agricultural Business and Management.","No substantive changes",no,="01.01","Agricultural Business and Management."
="01.0101","Agricultural Business and Management, General.","No substantive changes",no,="01.0101","Agricultural Business and Management, General."
="01.0102","Agribusiness/Agricultural Business Operations.","No substantive changes",no,="01.0102","Agribusiness/Agricultural Business Operations."
="01.0103","Agricultural Economics.","No substantive changes",no,="01.0103","Agricultural Economics."
="01.0104","Farm/Farm and Ranch Management.","No substantive changes",no,="01.0104","Farm/Farm and Ranch Management."
="01.0105","Agricultural/Farm Supplies Retailing and Wholesaling.","No substantive changes",no,="01.0105","Agricultural/Farm Supplies Retailing and Wholesaling."
="01.0106","Agricultural Business Technology.","No substantive changes",no,="01.0106","Agricultural Business Technology."
="01.0199","Agricultural Business and Management, Other.","No substantive changes",no,="01.0199","Agricultural Business and Management, Other."
="01.02","Agricultural Mechanization.","No substantive changes",no,="01.02","Agricultural Mechanization."
="01.0201","Agricultural Mechanization, General.","No substantive changes",no,="01.0201","Agricultural Mechanization, General."
="01.0204","Agricultural Power Machinery Operation.","No substantive changes",no,="01.0204","Agricultural Power Machinery Operation."
="01.0205","Agricultural Mechanics and Equipment/Machine Technology.","No substantive changes",no,="01.0205","Agricultural Mechanics and Equipment/Machine Technology."
="01.0299","Agricultural Mechanization, Other.","No substantive changes",no,="01.0299","Agricultural Mechanization, Other."
="01.03","Agricultural Production Operations.","No substantive changes",no,="01.03","Agricultural Production Operations."
="01.0301","Agricultural Production Operations, General.","No substantive changes",no,="01.0301","Agricultural Production Operations, General."
="01.0302","Animal/Livestock Husbandry and Production.","No substantive changes",no,="01.0302","Animal/Livestock Husbandry and Production."
="01.0303","Aquaculture.","No substantive changes",no,="01.0303","Aquaculture."
="01.0304","Crop Production.","No substantive changes",no,="01.0304","Crop Production."
="01.0306","Dairy Husbandry and Production.","No substantive changes",no,="01.0306","Dairy Husbandry and Production."
="01.0307","Horse Husbandry/Equine Science and Management.","No substantive changes",no,="01.0307","Horse Husbandry/Equine Science and Management."
"","","New",no,="01.0308","Agroecology and Sustainable Agriculture."
"","","New",no,="01.0309","Viticulture and Enology."
="01.0399","Agricultural Production Operations, Other.","No substantive changes",no,="01.0399","Agricultural Production Operations, Other."
="01.04","Agricultural and Food Products Processing.","No substantive changes",no,="01.04","Agricultural and Food Products Processing."
="01.0401","Agricultural and Food Products Processing.","No substantive changes",no,="01.0401","Agricultural and Food Products Processing."
="01.05","Agricultural and Domestic Animal Services.","No substantive changes",no,="01.05","Agricultural and Domestic Animal Services."
="01.0504","Dog/Pet/Animal Grooming.","No substantive changes",no,="01.0504","Dog/Pet/Animal Grooming."
="01.0505","Animal Training.","No substantive changes",no,="01.0505","Animal Training."
="01.0507","Equestrian/Equine Studies.","No substantive changes",no,="01.0507","Equestrian/Equine Studies."
="01.0508","Taxidermy/Taxidermist.","No substantive changes",no,="01.0508","Taxidermy/Taxidermist."
="01.0599","Agricultural and Domestic Animal Services, Other.","No substantive changes",no,="01.0599","Agricultural and Domestic Animal Services, Other."
="01.06","Applied Horticulture and Horticultural Business Services.","No substantive changes",no,="01.06","Applied Horticulture and Horticultural Business Services."
="01.0601","Applied Horticulture/Horticulture Operations, General.","No substantive changes",no,="01.0601","Applied Horticulture/Horticulture Operations, General."
="01.0603","Ornamental Horticulture.","No substantive changes",no,="01.0603","Ornamental Horticulture."
="01.0604","Greenhouse Operations and Management.","No substantive changes",no,="01.0604","Greenhouse Operations and Management."
="01.0605","Landscaping and Groundskeeping.","No substantive changes",no,="01.0605","Landscaping and Groundskeeping."
="01.0606","Plant Nursery Operations and Management.","No substantive changes",no,="01.0606","Plant Nursery Operations and Management."
="01.0607","Turf and Turfgrass Management.","No substantive changes",no,="01.0607","Turf and Turfgrass Management."
="01.0608","Floriculture/Floristry Operations and Management.","No substantive changes",no,="01.0608","Floriculture/Floristry Operations and Management."
="01.0699","Applied Horticulture/Horticultural Business Services, Other.","No substantive changes",no,="01.0699","Applied Horticulture/Horticultural Business Services, Other."
="01.07","International Agriculture.","No substantive changes",no,="01.07","International Agriculture."
="01.0701","International Agriculture.","No substantive changes",no,="01.0701","International Agriculture."
="01.08","Agricultural Public Services.","No substantive changes",no,="01.08","Agricultural Public Services."
="01.0801","Agricultural and Extension Education Services.","No substantive changes",no,="01.0801","Agricultural and Extension Education Services."
="01.0802","Agricultural Communication/Journalism.","No substantive changes",no,="01.0802","Agricultural Communication/Journalism."
="01.0899","Agricultural Public Services, Other.","No substantive changes",no,="01.0899","Agricultural Public Services, Other."
="01.09","Animal Sciences.","No substantive changes",no,="01.09","Animal Sciences."
="01.0901","Animal Sciences, General.","No substantive changes",no,="01.0901","Animal Sciences, General."
="01.0902","Agricultural Animal Breeding.","No substantive changes",no,="01.0902","Agricultural Animal Breeding."
="01.0903","Animal Health.","No substantive changes",no,="01.0903","Animal Health."
="01.0904","Animal Nutrition.","No substantive changes",no,="01.0904","Animal Nutrition."
="01.0905","Dairy Science.","No substantive changes",no,="01.0905","Dairy Science."
="01.0906","Livestock Management.","No substantive changes",no,="01.0906","Livestock Management."
="01.0907","Poultry Science.","No substantive changes",no,="01.0907","Poultry Science."
="01.0999","Animal Sciences, Other.","No substantive changes",no,="01.0999","Animal Sciences, Other."
="01.10","Food Science and Technology.","No substantive changes",no,="01.10","Food Science and Technology."
="01.1001","Food Science.","No substantive changes",no,="01.1001","Food Science."
="01.1002","Food Technology and Processing.","No substantive changes",no,="01.1002","Food Technology and Processing."
="01.1099","Food Science and Technology, Other.","No substantive changes",no,="01.1099","Food Science and Technology, Other."
="01.11","Plant Sciences.","No substantive changes",no,="01.11","Plant Sciences."
="01.1101","Plant Sciences, General.","No substantive changes",no,="01.1101","Plant Sciences, General."
="01.1102","Agronomy and Crop Science.","No substantive changes",no,="01.1102","Agronomy and Crop Science."
="01.1103","Horticultural Science.","No substantive changes",no,="01.1103","Horticultural Science."
="01.1104","Agricultural and Horticultural Plant Breeding.","No substantive changes",no,="01.1104","Agricultural and Horticultural Plant Breeding."
="01.1105","Plant Protection and Integrated Pest Management.","No substantive changes",yes,="01.1105","Plant Protection and Integrated Pest Management."
="01.1106","Range Science and Management.","No substantive changes",no,="01.1106","Range Science and Management."
="01.1199","Plant Sciences, Other.","No substantive changes",no,="01.1199","Plant Sciences, Other."
="01.12","Soil Sciences.","No substantive changes",no,="01.12","Soil Sciences."
="01.1201","Soil Science and Agronomy, General.","No substantive changes",no,="01.1201","Soil Science and Agronomy, General."
="01.1202","Soil Chemistry and Physics.","No substantive changes",no,="01.1202","Soil Chemistry and Physics."
="01.1203","Soil Microbiology.","No substantive changes",no,="01.1203","Soil Microbiology."
="01.1299","Soil Sciences, Other.","No substantive changes",no,="01.1299","Soil Sciences, Other."
="01.99","Agriculture, Agriculture Operations, and Related Sciences, Other.","No substantive changes",no,="01.99","Agriculture, Agriculture Operations, and Related Sciences, Other."
="01.9999","Agriculture, Agriculture Operations, and Related Sciences, Other.","No substantive changes",no,="01.9999","Agriculture, Agriculture Operations, and Related Sciences, Other."
="03","NATURAL RESOURCES AND CONSERVATION.","No substantive changes",no,="03","NATURAL RESOURCES AND CONSERVATION."
="03.01","Natural Resources Conservation and Research.","No substantive changes",no,="03.01","Natural Resources Conservation and Research."
="03.0101","Natural Resources/Conservation, General.","No substantive changes",no,="03.0101","Natural Resources/Conservation, General."
="03.0103","Environmental Studies.","No substantive changes",no,="03.0103","Environmental Studies."
="03.0104","Environmental Science.","No substantive changes",no,="03.0104","Environmental Science."
="03.0199","Natural Resources Conservation and Research, Other.","No substantive changes",no,="03.0199","Natural Resources Conservation and Research, Other."
="03.02","Natural Resources Management and Policy.","No substantive changes",no,="03.02","Natural Resources Management and Policy."
="03.0201","Natural Resources Management and Policy.","No substantive changes",no,="03.0201","Natural Resources Management and Policy."
="03.0204","Natural Resource Economics.","No substantive changes",no,="03.0204","Natural Resource Economics."
="03.0205","Water, Wetlands, and Marine Resources Management.","No substantive changes",no,="03.0205","Water, Wetlands, and Marine Resources Management."
="03.0206","Land Use Planning and Management/Development.","No substantive changes",no,="03.0206","Land Use Planning and Management/Development."
"","","New",no,="03.0207","Natural Resource Recreation and Tourism."
"","","New",no,="03.0208","Natural Resources Law Enforcement and Protective Services."
="03.0299","Natural Resources Management and Policy, Other.","No substantive changes",no,="03.0299","Natural Resources Management and Policy, Other."
="03.03","Fishing and Fisheries Sciences and Management.","No substantive changes",no,="03.03","Fishing and Fisheries Sciences and Management."
="03.0301","Fishing and Fisheries Sciences and Management.","No substantive changes",no,="03.0301","Fishing and Fisheries Sciences and Management."
="03.05","Forestry.","No substantive changes",no,="03.05","Forestry."
="03.0501","Forestry, General.","No substantive changes",no,="03.0501","Forestry, General."
="03.0502","Forest Sciences and Biology.","No substantive changes",no,="03.0502","Forest Sciences and Biology."
="03.0506","Forest Management/Forest Resources Management.","No substantive changes",no,="03.0506","Forest Management/Forest Resources Management."
="03.0508","Urban Forestry.","No substantive changes",no,="03.0508","Urban Forestry."
="03.0509","Wood Science and Wood Products/Pulp and Paper Technology.","No substantive changes",no,="03.0509","Wood Science and Wood Products/Pulp and Paper Technology."
="03.0510","Forest Resources Production and Management.","No substantive changes",no,="03.0510","Forest Resources Production and Management."
="03.0511","Forest Technology/Technician.","No substantive changes",no,="03.0511","Forest Technology/Technician."
="03.0599","Forestry, Other.","No substantive changes",no,="03.0599","Forestry, Other."
="03.06","Wildlife and Wildlands Science and Management.","No substantive changes",no,="03.06","Wildlife and Wildlands Science and Management."
="03.0601","Wildlife and Wildlands Science and Management.","No substantive changes",yes,="03.0601","Wildlife, Fish and Wildlands Science and Management."
="03.99","Natural Resources and Conservation, Other.","No substantive changes",no,="03.99","Natural Resources and Conservation, Other."
="03.9999","Natural Resources and Conservation, Other.","No substantive changes",no,="03.9999","Natural Resources and Conservation, Other."
="04","ARCHITECTURE AND RELATED SERVICES.","No substantive changes",no,="04","ARCHITECTURE AND RELATED SERVICES."
="04.02","Architecture.","No substantive changes",no,="04.02","Architecture."
="04.0201","Architecture (BArch, BA/BS, MArch, MA/MS, PhD).","No substantive changes",no,="04.0201","Architecture."
="04.03","City/Urban, Community and Regional Planning.","No substantive changes",no,="04.03","City/Urban, Community and Regional Planning."
="04.0301","City/Urban, Community and Regional Planning.","No substantive changes",no,="04.0301","City/Urban, Community and Regional Planning."
="04.04","Environmental Design.","No substantive changes",no,="04.04","Environmental Design."
="04.0401","Environmental Design/Architecture.","No substantive changes",no,="04.0401","Environmental Design/Architecture."
="04.05","Interior Architecture.","No substantive changes",no,="04.05","Interior Architecture."
="04.0501","Interior Architecture.","No substantive changes",no,="04.0501","Interior Architecture."
="04.06","Landscape Architecture.","No substantive changes",no,="04.06","Landscape Architecture."
="04.0601","Landscape Architecture (BS, BSLA, BLA, MSLA, MLA, PhD).","No substantive changes",no,="04.0601","Landscape Architecture."
="04.08","Architectural History and Criticism.","No substantive changes",no,="04.08","Architectural History and Criticism."
="04.0801","Architectural History and Criticism, General.","No substantive changes",no,="04.0801","Architectural History and Criticism, General."
="04.09","Architectural Technology/Technician.","No substantive changes",yes,="04.09","Architectural Sciences and Technology."
="04.0901","Architectural Technology/Technician.","No substantive changes",no,="04.0901","Architectural Technology/Technician."
"","","New",no,="04.0902","Architectural and Building Sciences/Technology."
"","","New",no,="04.0999","Architectural Sciences and Technology, Other."
"","","New",no,="04.10","Real Estate Development."
"","","New",no,="04.1001","Real Estate Development."
="04.99","Architecture and Related Services, Other.","No substantive changes",no,="04.99","Architecture and Related Services, Other."
="04.9999","Architecture and Related Services, Other.","No substantive changes",no,="04.9999","Architecture and Related Services, Other."
="05","AREA, ETHNIC, CULTURAL, AND GENDER STUDIES.","No substantive changes",yes,="05","AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
="05.01","Area Studies.","No substantive changes",no,="05.01","Area Studies."
="05.0101","African Studies.","No substantive changes",no,="05.0101","African Studies."
="05.0102","American/United States Studies/Civilization.","No substantive changes",no,="05.0102","American/United States Studies/Civilization."
="05.0103","Asian Studies/Civilization.","No substantive changes",no,="05.0103","Asian Studies/Civilization."
="05.0104","East Asian Studies.","No substantive changes",no,="05.0104","East Asian Studies."
="05.0105","Central/Middle and Eastern European Studies.","No substantive changes",yes,="05.0105","Russian, Central European, East European and Eurasian Studies."
="05.0106","European Studies/Civilization.","No substantive changes",no,="05.0106","European Studies/Civilization."
="05.0107","Latin American Studies.","No substantive changes",no,="05.0107","Latin American Studies."
="05.0108","Near and Middle Eastern Studies.","No substantive changes",no,="05.0108","Near and Middle Eastern Studies."
="05.0109","Pacific Area/Pacific Rim Studies.","No substantive changes",no,="05.0109","Pacific Area/Pacific Rim Studies."
="05.0110","Russian Studies.","No substantive changes",no,="05.0110","Russian Studies."
="05.0111","Scandinavian Studies.","No substantive changes",no,="05.0111","Scandinavian Studies."
="05.0112","South Asian Studies.","No substantive changes",no,="05.0112","South Asian Studies."
="05.0113","Southeast Asian Studies.","No substantive changes",no,="05.0113","Southeast Asian Studies."
="05.0114","Western European Studies.","No substantive changes",no,="05.0114","Western European Studies."
="05.0115","Canadian Studies.","No substantive changes",no,="05.0115","Canadian Studies."
="05.0116","Balkans Studies.","No substantive changes",no,="05.0116","Balkans Studies."
="05.0117","Baltic Studies.","No substantive changes",no,="05.0117","Baltic Studies."
="05.0118","Slavic Studies.","No substantive changes",no,="05.0118","Slavic Studies."
="05.0119","Caribbean Studies.","No substantive changes",no,="05.0119","Caribbean Studies."
="05.0120","Ural-Altaic and Central Asian Studies.","No substantive changes",no,="05.0120","Ural-Altaic and Central Asian Studies."
="05.0121","Commonwealth Studies.","No substantive changes",no,="05.0121","Commonwealth Studies."
="05.0122","Regional Studies (U.S., Canadian, Foreign)","No substantive changes",no,="05.0122","Regional Studies (U.S., Canadian, Foreign)"
="05.0123","Chinese Studies.","No substantive changes",no,="05.0123","Chinese Studies."
="05.0124","French Studies.","No substantive changes",no,="05.0124","French Studies."
="05.0125","German Studies.","No substantive changes",no,="05.0125","German Studies."
="05.0126","Italian Studies.","No substantive changes",no,="05.0126","Italian Studies."
="05.0127","Japanese Studies.","No substantive changes",no,="05.0127","Japanese Studies."
="05.0128","Korean Studies.","No substantive changes",no,="05.0128","Korean Studies."
="05.0129","Polish Studies.","No substantive changes",no,="05.0129","Polish Studies."
="05.0130","Spanish and Iberian Studies.","No substantive changes",no,="05.0130","Spanish and Iberian Studies."
="05.0131","Tibetan Studies.","No substantive changes",no,="05.0131","Tibetan Studies."
="05.0132","Ukraine Studies.","No substantive changes",no,="05.0132","Ukraine Studies."
"","","New",no,="05.0133","Irish Studies."
"","","New",no,="05.0134","Latin American and Caribbean Studies."
="05.0199","Area Studies, Other.","No substantive changes",no,="05.0199","Area Studies, Other."
="05.02","Ethnic, Cultural Minority, and Gender Studies.","No substantive changes",yes,="05.02","Ethnic, Cultural Minority, Gender, and Group Studies."
"","","New",no,="05.0200","Ethnic Studies."
="05.0201","African-American/Black Studies.","No substantive changes",no,="05.0201","African-American/Black Studies."
="05.0202","American Indian/Native American Studies.","No substantive changes",no,="05.0202","American Indian/Native American Studies."
="05.0203","Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies.","No substantive changes",no,="05.0203","Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies."
="05.0206","Asian-American Studies.","No substantive changes",no,="05.0206","Asian-American Studies."
="05.0207","Women's Studies.","No substantive changes",no,="05.0207","Women's Studies."
="05.0208","Gay/Lesbian Studies.","No substantive changes",no,="05.0208","Gay/Lesbian Studies."
"","","New",no,="05.0209","Folklore Studies."
"","","New",no,="05.0210","Disability Studies."
"","","New",no,="05.0211","Deaf Studies."
="05.0299","Ethnic, Cultural Minority, and Gender Studies, Other.","No substantive changes",yes,="05.0299","Ethnic, Cultural Minority, Gender, and Group Studies, Other."
="05.99","Area, Ethnic, Cultural, and Gender Studies, Other.","Deleted",no,="05.99","Deleted, report under 05.01, 05.02"
="05.9999","Area, Ethnic, Cultural, and Gender Studies, Other.","Deleted",no,="05.9999","Deleted, report under 05.01, 05.02"
="09","COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.","No substantive changes",no,="09","COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
="09.01","Communication and Media Studies.","No substantive changes",no,="09.01","Communication and Media Studies."
"","","New",no,="09.0100","Communication, General."
="09.0101","Communication Studies/Speech Communication and Rhetoric.","No substantive changes",yes,="09.0101","Speech Communication and Rhetoric."
="09.0102","Mass Communication/Media Studies.","No substantive changes",no,="09.0102","Mass Communication/Media Studies."
="09.0199","Communication and Media Studies, Other.","No substantive changes",no,="09.0199","Communication and Media Studies, Other."
="09.04","Journalism.","No substantive changes",no,="09.04","Journalism."
="09.0401","Journalism.","No substantive changes",no,="09.0401","Journalism."
="09.0402","Broadcast Journalism.","No substantive changes",no,="09.0402","Broadcast Journalism."
="09.0404","Photojournalism.","No substantive changes",no,="09.0404","Photojournalism."
="09.0499","Journalism, Other.","No substantive changes",no,="09.0499","Journalism, Other."
="09.07","Radio, Television, and Digital Communication.","No substantive changes",no,="09.07","Radio, Television, and Digital Communication."
="09.0701","Radio and Television.","No substantive changes",no,="09.0701","Radio and Television."
="09.0702","Digital Communication and Media/Multimedia.","No substantive changes",yes,="09.0702","Digital Communication and Media/Multimedia."
="09.0799","Radio, Television, and Digital Communication, Other.","No substantive changes",no,="09.0799","Radio, Television, and Digital Communication, Other."
="09.09","Public Relations, Advertising, and Applied Communication.","No substantive changes",no,="09.09","Public Relations, Advertising, and Applied Communication."
"","","New",no,="09.0900","Public Relations, Advertising, and Applied Communication."
="09.0901","Organizational Communication, General.","No substantive changes",no,="09.0901","Organizational Communication, General."
="09.0902","Public Relations/Image Management.","No substantive changes",no,="09.0902","Public Relations/Image Management."
="09.0903","Advertising.","No substantive changes",no,="09.0903","Advertising."
="09.0904","Political Communication.","No substantive changes",no,="09.0904","Political Communication."
="09.0905","Health Communication.","No substantive changes",no,="09.0905","Health Communication."
"","","New",no,="09.0906","Sports Communication."
"","","New",no,="09.0907","International and Intercultural Communication."
"","","New",no,="09.0908","Technical and Scientific Communication."
="09.0999","Public Relations, Advertising, and Applied Communication, Other","No substantive changes",no,="09.0999","Public Relations, Advertising, and Applied Communication, Other"
="09.10","Publishing.","No substantive changes",no,="09.10","Publishing."
="09.1001","Publishing.","No substantive changes",no,="09.1001","Publishing."
="09.99","Communication, Journalism, and Related Programs, Other.","No substantive changes",no,="09.99","Communication, Journalism, and Related Programs, Other."
="09.9999","Communication, Journalism, and Related Programs, Other.","No substantive changes",no,="09.9999","Communication, Journalism, and Related Programs, Other."
="10","COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES.","No substantive changes",no,="10","COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES."
="10.01","Communications Technology/Technician.","No substantive changes",no,="10.01","Communications Technology/Technician."
="10.0105","Communications Technology/Technician.","No substantive changes",no,="10.0105","Communications Technology/Technician."
="10.02","Audiovisual Communications Technologies/Technicians.","No substantive changes",no,="10.02","Audiovisual Communications Technologies/Technicians."
="10.0201","Photographic and Film/Video Technology/Technician and Assistant.","No substantive changes",no,="10.0201","Photographic and Film/Video Technology/Technician and Assistant."
="10.0202","Radio and Television Broadcasting Technology/Technician.","No substantive changes",no,="10.0202","Radio and Television Broadcasting Technology/Technician."
="10.0203","Recording Arts Technology/Technician.","No substantive changes",no,="10.0203","Recording Arts Technology/Technician."
="10.0299","Audiovisual Communications Technologies/Technicians, Other.","No substantive changes",no,="10.0299","Audiovisual Communications Technologies/Technicians, Other."
="10.03","Graphic Communications.","No substantive changes",no,="10.03","Graphic Communications."
="10.0301","Graphic Communications, General.","No substantive changes",no,="10.0301","Graphic Communications, General."
="10.0302","Printing Management.","No substantive changes",no,="10.0302","Printing Management."
="10.0303","Prepress/Desktop Publishing and Digital Imaging Design.","No substantive changes",no,="10.0303","Prepress/Desktop Publishing and Digital Imaging Design."
="10.0304","Animation, Interactive Technology, Video Graphics and Special Effects.","No substantive changes",no,="10.0304","Animation, Interactive Technology, Video Graphics and Special Effects."
="10.0305","Graphic and Printing Equipment Operator, General Production.","No substantive changes",no,="10.0305","Graphic and Printing Equipment Operator, General Production."
="10.0306","Platemaker/Imager.","No substantive changes",no,="10.0306","Platemaker/Imager."
="10.0307","Printing Press Operator.","No substantive changes",no,="10.0307","Printing Press Operator."
="10.0308","Computer Typography and Composition Equipment Operator.","No substantive changes",no,="10.0308","Computer Typography and Composition Equipment Operator."
="10.0399","Graphic Communications, Other.","No substantive changes",no,="10.0399","Graphic Communications, Other."
