school,2003-2007,modeled 2013-2017,actual 2013-2017,relative difference
Hawaii Pacific University,74,44.4993506199781,156,3.505669135089881
University of Puerto Rico-Rio Piedras,76,38.99037920605946,107,2.7442667185799317
Troy University,79,87.62491787008996,226,2.579175027987595
Jacksonville State University,70,68.40217126699748,159,2.3244876157420156
Saginaw Valley State University,93,96.84042755171697,220,2.271778487166535
CUNY City College,78,113.36797323636198,255,2.249312506172692
Angelo State University,69,66.96802746341417,143,2.135347350317634
Middle Tennessee State University,149,128.0237450233863,262,2.046495358748801
Shepherd University,52,57.378940204734675,117,2.0390756535852788
Eastern Connecticut State University,101,107.17077224849926,215,2.0061439839350483
Skidmore College,58,43.81512837057081,85,1.939969210659479
Saint Michael's College,91,67.54750159615116,124,1.83574517295049
University of Maryland-University College,184,285.95131571919046,517,1.8080000740675162
Keene State College,59,59.89070907044686,108,1.8032847110386396
Hamilton College,68,49.766184459367054,88,1.7682689753290206
The College of New Jersey,127,121.04886934484193,209,1.7265753999288038
Old Dominion University,217,236.07082866497416,404,1.711350793677887
Mississippi State University,125,107.28318262100024,180,1.6778025744807252
Arizona State University-West,146,81.459992759697,136,1.6695312065788337
University of North Texas,404,415.26449312892646,691,1.6639997192956884
Iowa State University,248,219.04175291883672,362,1.6526529539513626
Ouachita Baptist University,52,39.96981209623481,66,1.651246191528062
Western Carolina University,88,116.62254707385213,192,1.6463368775371927
University of Arkansas,201,250.86606167734797,413,1.6462968216529066
Covenant College,76,37.81993775468349,62,1.639346960382613
Bryn Mawr College,51,37.845129179479635,61,1.6118322574804524
McDaniel College,90,60.48899693715624,96,1.587065497213273
Florida International University,176,208.7007236008458,331,1.5860031258591119
East Tennessee State University,140,136.98834850511204,217,1.5840763274250447
St John's University-New York,135,79.84013195057497,125,1.5656286750300117
Guilford College,76,66.68835914295961,104,1.5594925611688173
Wheaton College,81,62.22477827318239,97,1.5588645342237406
Birmingham Southern College,58,41.95368605717409,65,1.5493275110896958
SUNY Cortland,117,116.65524092895915,180,1.5430082572082349
Seton Hall University,90,67.44873546762126,104,1.5419117835044536
University of Wyoming,106,89.69293713798201,138,1.538582684472728
California State University-Los Angeles,145,183.16980874255478,281,1.5340956128580425
Southern Utah University,62,56.20468520439561,86,1.5301215492489617
Presbyterian College,83,59.154045915335914,90,1.5214512990170153
Clarion University of Pennsylvania,63,49.31006932103682,75,1.5209875190340334
Wayne State University,115,107.93206671774782,164,1.5194742858846104
Austin College,85,60.11946949588462,91,1.5136527444945143
Texas A & M University-Kingsville,60,60.206345917033886,91,1.5114685771729224
Howard University,81,39.91083460978548,60,1.5033511723477961
Montana State University,176,148.02987168608269,222,1.4996973075189917
Colgate University,250,176.8059134630636,265,1.4988186470095695
Louisiana Tech University,78,50.041248198724716,75,1.4987635740451284
North Dakota State University-Main Campus,54,52.07470487760119,78,1.4978481430347965
Amherst College,147,117.51553957899806,176,1.4976742704030783
Longwood University,145,147.07894574279655,220,1.4957953287530612
Indiana State University,69,58.16766774835312,87,1.495676264284521
The University of Texas Rio Grande Valley,132,179.56590917833597,268,1.4924881968204537
Randolph College,53,31.529573664614748,47,1.4906639874026435
University of Dallas,102,89.90747749276748,134,1.4904210832828615
University of Central Florida,427,491.00015314219837,728,1.4826879285904502
Florida State University,417,356.45554827785304,528,1.4812506147005742
SUNY Buffalo State,188,171.4924888331291,254,1.48111443089006
Columbia College,233,225.77245306717015,334,1.4793655978067033
Georgia Southern University,143,171.8165572649893,254,1.4783208559362575
Vanderbilt University,304,196.34798381662532,289,1.4718765855518279
Western Michigan University,132,80.07759280126191,116,1.4485949932072881
University of North Carolina at Greensboro,207,207.85650467494895,299,1.438492389100757
Salem State University,119,164.90581954573273,236,1.4311199001351858
Saint Mary's College of California,66,43.5583231472569,62,1.4233789439138331
Southeastern Louisiana University,132,125.5701553730157,178,1.4175342817028254
SUNY College at Plattsburgh,109,103.80015785769046,147,1.4161828173858493
Francis Marion University,66,67.24542686717513,95,1.4127354740069746
University of Denver,58,49.61030173374332,70,1.4109972637475066
American University,149,119.07652280067444,168,1.4108574557658182
Williams College,212,146.2272320942254,206,1.4087663224539355
University of St Thomas,64,51.16204390808144,72,1.4072932686066328
University of Missouri-St Louis,132,101.11849195320663,142,1.404293094735942
Idaho State University,93,66.51450401411388,93,1.398191287426064
Radford University,127,112.38635330621612,157,1.3969667613667138
University of New Orleans,188,110.76008757698594,154,1.3903925445432619
Northwestern State University of Louisiana,86,75.52252564239642,105,1.3903136727336312
Framingham State University,96,105.93633004719307,147,1.38762594413563
New Mexico State University-Main Campus,121,107.60097932198076,149,1.3847457610412495
California State Polytechnic University-Pomona,178,196.68183389696242,270,1.3727754854139067
University of Central Oklahoma,125,125.34263839960455,172,1.3722385470429241
