institution_id,institution_name,deglevl_code,deglevl,degcip_4dig,ciptitle,grad_cohort,grad_cohort_label,year_postgrad,p25_earnings,p50_earnings,p75_earnings,cellcount,cell_suppressed,state,system,first_release,last_update,cpi_reportyear
1345,ADAMS STATE COLLEGE,03,Associates,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",1996,1996-2000,1,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,03,Associates,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",1996,1996-2000,5,23108,34633,50141,73,0,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,03,Associates,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",1996,1996-2000,10,31990,41565,68312,65,0,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,03,Associates,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2001,2001-2005,1,17794,25774,32213,46,0,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,03,Associates,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2001,2001-2005,5,27763,36398,51928,79,0,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,03,Associates,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2001,2001-2005,10,31012,43798,64121,85,0,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,03,Associates,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2006,2006-2010,1,15288,22094,31857,40,0,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,03,Associates,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2006,2006-2010,5,22329,31236,44914,68,0,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,03,Associates,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2011,2011-2015,1,14923,20225,26616,133,0,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",1998,1998-2000,1,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",1998,1998-2000,5,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",1998,1998-2000,10,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2001,2001-2003,1,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2001,2001-2003,5,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2001,2001-2003,10,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2004,2004-2006,1,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2004,2004-2006,5,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2004,2004-2006,10,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2007,2007-2009,1,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2007,2007-2009,5,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2010,2010-2012,1,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2013,2013-2015,1,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",1998,1998-2000,1,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",1998,1998-2000,5,26850,41565,53358,44,0,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",1998,1998-2000,10,28236,39729,50105,38,0,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2001,2001-2003,1,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2001,2001-2003,5,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2001,2001-2003,10,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2004,2004-2006,1,17745,21280,26817,31,0,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2004,2004-2006,5,30771,40449,45696,34,0,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2004,2004-2006,10,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2007,2007-2009,1,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2007,2007-2009,5,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2010,2010-2012,1,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2013,2013-2015,1,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2313,RHETORIC AND COMPOSITION/WRITING STUDIES,2004,2004-2006,1,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2313,RHETORIC AND COMPOSITION/WRITING STUDIES,2004,2004-2006,5,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2313,RHETORIC AND COMPOSITION/WRITING STUDIES,2004,2004-2006,10,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2313,RHETORIC AND COMPOSITION/WRITING STUDIES,2007,2007-2009,1,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2313,RHETORIC AND COMPOSITION/WRITING STUDIES,2007,2007-2009,5,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2313,RHETORIC AND COMPOSITION/WRITING STUDIES,2010,2010-2012,1,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2313,RHETORIC AND COMPOSITION/WRITING STUDIES,2013,2013-2015,1,,,,,1,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",1998,1998-2000,1,20245,25580,34170,39,0,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",1998,1998-2000,5,34866,41147,47739,107,0,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",1998,1998-2000,10,33672,42458,54453,93,0,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2001,2001-2003,1,20596,30142,38883,105,0,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2001,2001-2003,5,29805,37928,45963,123,0,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2001,2001-2003,10,30771,38289,47473,120,0,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2004,2004-2006,1,20316,28884,36968,170,0,CO,cdhe,08242018,08242018,2016
1345,ADAMS STATE COLLEGE,05,Baccalaureate,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2004,2004-2006,5,26601,33779,39160,153,0,CO,cdhe,08242018,08242018,2016
