"Year"	"total"	"variable"	"count"	"source"	"junk"	"Population"
1948	237937	"English"	12614	"Hand"	"22,866"	2286600
1948	237937	"History"	9245	"Hand"	"22,866"	2286600
1948	237937	"Languages"	4241	"Hand"	"22,866"	2286600
1948	237937	"Philosophy"	1726	"Hand"	"22,866"	2286600
1948	237937	"All Others"	210111	"Hand"	"22,866"	2286600
1949	331685	"English"	14926	"Hand"	"22,570"	2257000
1949	331685	"History"	10491	"Hand"	"22,570"	2257000
1949	331685	"Languages"	4681	"Hand"	"22,570"	2257000
1949	331685	"Philosophy"	2146	"Hand"	"22,570"	2257000
1949	331685	"All Others"	299441	"Hand"	"22,570"	2257000
1950	396666	"English"	17246	"Hand"	"22,260"	2226000
1950	396666	"History"	13567	"Hand"	"22,260"	2226000
1950	396666	"Languages"	5160	"Hand"	"22,260"	2226000
1950	396666	"Philosophy"	2835	"Hand"	"22,260"	2226000
1950	396666	"All Others"	357858	"Hand"	"22,260"	2226000
1951	346652	"English"	15505	"Hand"	"22,018"	2201800
1951	346652	"History"	12321	"Hand"	"22,018"	2201800
1951	346652	"Languages"	4936	"Hand"	"22,018"	2201800
1951	346652	"Philosophy"	2654	"Hand"	"22,018"	2201800
1951	346652	"All Others"	311236	"Hand"	"22,018"	2201800
1952	295693	"English"	14087	"Hand"	"21,796"	2179600
1952	295693	"History"	10216	"Hand"	"21,796"	2179600
1952	295693	"Languages"	4418	"Hand"	"21,796"	2179600
1952	295693	"Philosophy"	2421	"Hand"	"21,796"	2179600
1952	295693	"All Others"	264551	"Hand"	"21,796"	2179600
1953	269540	"English"	12667	"Hand"	"21,658"	2165800
1953	269540	"History"	9576	"Hand"	"21,658"	2165800
1953	269540	"Languages"	4068	"Hand"	"21,658"	2165800
1953	269540	"Philosophy"	2560	"Hand"	"21,658"	2165800
1953	269540	"All Others"	240669	"Hand"	"21,658"	2165800
1954	257800	"English"	12566	"Hand"	"21,641"	2164100
1954	257800	"History"	9385	"Hand"	"21,641"	2164100
1954	257800	"Languages"	3793	"Hand"	"21,641"	2164100
1954	257800	"Philosophy"	1845	"Hand"	"21,641"	2164100
1954	257800	"All Others"	230211	"Hand"	"21,641"	2164100
1955	253690	"English"	13099	"Hand"	"21,667"	2166700
1955	253690	"History"	9540	"Hand"	"21,667"	2166700
1955	253690	"Languages"	3548	"Hand"	"21,667"	2166700
1955	253690	"Philosophy"	1774	"Hand"	"21,667"	2166700
1955	253690	"All Others"	225729	"Hand"	"21,667"	2166700
1956	278103	"English"	14406	"Hand"	"21,869"	2186900
1956	278103	"History"	10540	"Hand"	"21,869"	2186900
1956	278103	"Languages"	3979	"Hand"	"21,869"	2186900
1956	278103	"Philosophy"	2668	"Hand"	"21,869"	2186900
1956	278103	"All Others"	246510	"Hand"	"21,869"	2186900
1957	306233	"English"	15426	"Hand"	"22,311"	2231100
1957	306233	"History"	11692	"Hand"	"22,311"	2231100
1957	306233	"Languages"	4322	"Hand"	"22,311"	2231100
1957	306233	"Philosophy"	2833	"Hand"	"22,311"	2231100
1957	306233	"All Others"	271960	"Hand"	"22,311"	2231100
1958	330134	"English"	16669	"Hand"	"23,162"	2316200
1958	330134	"History"	12883	"Hand"	"23,162"	2316200
1958	330134	"Languages"	4503	"Hand"	"23,162"	2316200
1958	330134	"Philosophy"	2981	"Hand"	"23,162"	2316200
1958	330134	"All Others"	293098	"Hand"	"23,162"	2316200
1959	346383	"English"	18292	"Hand"	"23,890"	2389000
1959	346383	"History"	13742	"Hand"	"23,890"	2389000
1959	346383	"Languages"	4767	"Hand"	"23,890"	2389000
1959	346383	"Philosophy"	3154	"Hand"	"23,890"	2389000
1959	346383	"All Others"	306428	"Hand"	"23,890"	2389000
1960	357976	"English"	20184	"Hand"	"24,576"	2457600
1960	357976	"History"	14783	"Hand"	"24,576"	2457600
1960	357976	"Languages"	5498	"Hand"	"24,576"	2457600
1960	357976	"Philosophy"	3466	"Hand"	"24,576"	2457600
1960	357976	"All Others"	314045	"Hand"	"24,576"	2457600
1961	365337	"English"	21888	"Hand"	"25,242"	2524200
1961	365337	"History"	15768	"Hand"	"25,242"	2524200
1961	365337	"Languages"	6524	"Hand"	"25,242"	2524200
1961	365337	"Philosophy"	3646	"Hand"	"25,242"	2524200
1961	365337	"All Others"	317511	"Hand"	"25,242"	2524200
1962	382822	"English"	24412	"Hand"	"26,909"	2690900
1962	382822	"History"	17405	"Hand"	"26,909"	2690900
1962	382822	"Languages"	8032	"Hand"	"26,909"	2690900
1962	382822	"Philosophy"	3725	"Hand"	"26,909"	2690900
1962	382822	"All Others"	329248	"Hand"	"26,909"	2690900
1963	410421	"English"	28088	"Hand"	"28,223"	2822300
1963	410421	"History"	20071	"Hand"	"28,223"	2822300
1963	410421	"Languages"	9861	"Hand"	"28,223"	2822300
1963	410421	"Philosophy"	4085	"Hand"	"28,223"	2822300
1963	410421	"All Others"	348316	"Hand"	"28,223"	2822300
1964	460467	"English"	32731	"Hand"	"29,519"	2951900
1964	460467	"History"	23485	"Hand"	"29,519"	2951900
1964	460467	"Languages"	12363	"Hand"	"29,519"	2951900
1964	460467	"Philosophy"	4810	"Hand"	"29,519"	2951900
1964	460467	"All Others"	387078	"Hand"	"29,519"	2951900
1965	492984	"English"	36183	"Hand"	"30,773"	3077300
1965	492984	"History"	25854	"Hand"	"30,773"	3077300
1965	492984	"Languages"	14091	"Hand"	"30,773"	3077300
1965	492984	"Philosophy"	4810	"Hand"	"30,773"	3077300
1965	492984	"All Others"	412046	"Hand"	"30,773"	3077300
1966	524117	"English"	39190	"Hand"	"32,012"	3201200
1966	524117	"History"	28770	"Hand"	"32,012"	3201200
1966	524117	"Languages"	15519	"Hand"	"32,012"	3201200
1966	524117	"Philosophy"	5024	"Hand"	"32,012"	3201200
1966	524117	"All Others"	435614	"Hand"	"32,012"	3201200
1967	562369	"English"	42430	"Hand"	"33,196"	3319600
1967	562369	"History"	31793	"Hand"	"33,196"	3319600
1967	562369	"Languages"	17025	"Hand"	"33,196"	3319600
1967	562369	"Philosophy"	5420	"Hand"	"33,196"	3319600
1967	562369	"All Others"	465701	"Hand"	"33,196"	3319600
1968	636863	"English"	48126	"Hand"	"34,090"	3409000
1968	636863	"History"	35416	"Hand"	"34,090"	3409000
1968	636863	"Languages"	19522	"Hand"	"34,090"	3409000
1968	636863	"Philosophy"	5768	"Hand"	"34,090"	3409000
1968	636863	"All Others"	528031	"Hand"	"34,090"	3409000
1969	734003	"English"	54359	"Hand"	"35,236"	3523600
1969	734003	"History"	41079	"Hand"	"35,236"	3523600
1969	734003	"Languages"	21985	"Hand"	"35,236"	3523600
1969	734003	"Philosophy"	6118	"Hand"	"35,236"	3523600
1969	734003	"All Others"	610462	"Hand"	"35,236"	3523600
1971	846110	"English"	64012	"Hand"	"37,948"	3794800
1971	846110	"History"	44931	"Hand"	"37,948"	3794800
1971	846110	"Languages"	21480	"Hand"	"37,948"	3794800
1971	846110	"Philosophy"	5790	"Hand"	"37,948"	3794800
1971	846110	"All Others"	709897	"Hand"	"37,948"	3794800
1972	894110	"English"	63810	"Hand"	"38,449"	3844900
1972	894110	"History"	43975	"Hand"	"38,449"	3844900
1972	894110	"Languages"	20405	"Hand"	"38,449"	3844900
1972	894110	"Philosophy"	5953	"Hand"	"38,449"	3844900
1972	894110	"All Others"	759967	"Hand"	"38,449"	3844900
1973	930000	"English"	60734	"Hand"	"39,240"	3924000
1973	930000	"History"	41223	"Hand"	"39,240"	3924000
1973	930000	"Languages"	20728	"Hand"	"39,240"	3924000
1973	930000	"Philosophy"	5934	"Hand"	"39,240"	3924000
1973	930000	"All Others"	801381	"Hand"	"39,240"	3924000
1975	931663	"English"	47148	"Hand"	"40,812"	4081200
1975	931663	"History"	31768	"Hand"	"40,812"	4081200
1975	931663	"Languages"	19675	"Hand"	"40,812"	4081200
1975	931663	"Philosophy"	5348	"Hand"	"40,812"	4081200
1975	931663	"All Others"	827724	"Hand"	"40,812"	4081200
1977	928228	"English"	37745	"Hand"	"42,039"	4203900
1977	928228	"History"	25608	"Hand"	"42,039"	4203900
1977	928228	"Languages"	15865	"Hand"	"42,039"	4203900
1977	928228	"Philosophy"	4451	"Hand"	"42,039"	4203900
1977	928228	"All Others"	844559	"Hand"	"42,039"	4203900
1978	930201	"English"	35174	"Hand"	"42,442"	4244200
1978	930201	"History"	23145	"Hand"	"42,442"	4244200
1978	930201	"Languages"	14614	"Hand"	"42,442"	4244200
1978	930201	"Philosophy"	4035	"Hand"	"42,442"	4244200
1978	930201	"All Others"	853233	"Hand"	"42,442"	4244200
1980	940251	"English"	32381	"Hand"	"42,497"	4249664.8
1980	940251	"History"	19414	"Hand"	"42,497"	4249664.8
1980	940251	"Languages"	12675	"Hand"	"42,497"	4249664.8
1980	940251	"Philosophy"	3716	"Hand"	"42,497"	4249664.8
1980	940251	"All Others"	872065	"Hand"	"42,497"	4249664.8
1981	946877	"English"	32057	"Hand"	"42,204"	4220400
1981	946877	"History"	18413	"Hand"	"42,204"	4220400
1981	946877	"Languages"	11877	"Hand"	"42,204"	4220400
1981	946877	"Philosophy"	3663	"Hand"	"42,204"	4220400
1981	946877	"All Others"	880867	"Hand"	"42,204"	4220400
1982	964043	"English"	33234	"Hand"	"41,644"	4164400
1982	964043	"History"	17246	"Hand"	"41,644"	4164400
1982	964043	"Languages"	11372	"Hand"	"41,644"	4164400
1982	964043	"Philosophy"	3417	"Hand"	"41,644"	4164400
1982	964043	"All Others"	898774	"Hand"	"41,644"	4164400
1984	986000	"English"	32410	"Hand"	"40,460"	4046000
1984	986000	"History"	16737	"Hand"	"40,460"	4046000
1984	986000	"Languages"	11246	"Hand"	"40,460"	4046000
1984	986000	"Philosophy"	3319	"Hand"	"40,460"	4046000
1984	986000	"All Others"	922288	"Hand"	"40,460"	4046000
1985	991000	"English"	32747	"Hand"	"39,992"	3999200
1985	991000	"History"	16143	"Hand"	"39,992"	3999200
1985	991000	"Languages"	11577	"Hand"	"39,992"	3999200
1985	991000	"Philosophy"	3377	"Hand"	"39,992"	3999200
1985	991000	"All Others"	927156	"Hand"	"39,992"	3999200
1986	1000204	"English"	34261	"Hand"	"39,557"	3955700
1986	1000204	"History"	16499	"Hand"	"39,557"	3955700
1986	1000204	"Languages"	11623	"Hand"	"39,557"	3955700
1986	1000204	"Philosophy"	3287	"Hand"	"39,557"	3955700
1986	1000204	"All Others"	934534	"Hand"	"39,557"	3955700
1987	1005021	"English"	35220	"Hand"	"38,890"	3889000
1987	1005021	"History"	16876	"Hand"	"38,890"	3889000
1987	1005021	"Languages"	11759	"Hand"	"38,890"	3889000
1987	1005021	"Philosophy"	3285	"Hand"	"38,890"	3889000
1987	1005021	"All Others"	937881	"Hand"	"38,890"	3889000
1988	1009223	"English"	37997	"Hand"	"38,151"	3815100
1988	1009223	"History"	18245	"Hand"	"38,151"	3815100
1988	1009223	"Languages"	11563	"Hand"	"38,151"	3815100
1988	1009223	"Philosophy"	3589	"Hand"	"38,151"	3815100
1988	1009223	"All Others"	937829	"Hand"	"38,151"	3815100
1989	1030171	"English"	41580	"Caspar"	"37,391"	3739100
1989	1030171	"History"	20136	"Caspar"	"37,391"	3739100
1989	1030171	"Languages"	11319	"Caspar"	"37,391"	3739100
1989	1030171	"Philosophy"	3873	"Caspar"	"37,391"	3739100
1989	1030171	"All Others"	953263	"Caspar"	"37,391"	3739100
1990	1062151	"English"	46175	"Caspar"	"36,922"	3692197.9
1990	1062151	"History"	22266	"Caspar"	"36,922"	3692197.9
1990	1062151	"Languages"	11889	"Caspar"	"36,922"	3692197.9
1990	1062151	"Philosophy"	4286	"Caspar"	"36,922"	3692197.9
1990	1062151	"All Others"	977535	"Caspar"	"36,922"	3692197.9
1991	1107997	"English"	50890	"Caspar"	"36,504"	3650400
1991	1107997	"History"	24593	"Caspar"	"36,504"	3650400
1991	1107997	"Languages"	12630	"Caspar"	"36,504"	3650400
1991	1107997	"Philosophy"	4602	"Caspar"	"36,504"	3650400
1991	1107997	"All Others"	1015282	"Caspar"	"36,504"	3650400
1992	1150072	"English"	53788	"Caspar"	"36,434"	3643400
1992	1150072	"History"	27009	"Caspar"	"36,434"	3643400
1992	1150072	"Languages"	13400	"Caspar"	"36,434"	3643400
1992	1150072	"Philosophy"	4870	"Caspar"	"36,434"	3643400
1992	1150072	"All Others"	1051005	"Caspar"	"36,434"	3643400
1993	1179278	"English"	54895	"Caspar"	"36,464"	3646400
1993	1179278	"History"	27819	"Caspar"	"36,464"	3646400
1993	1179278	"Languages"	13943	"Caspar"	"36,464"	3646400
1993	1179278	"Philosophy"	4864	"Caspar"	"36,464"	3646400
1993	1179278	"All Others"	1077757	"Caspar"	"36,464"	3646400
1994	1183141	"English"	52578	"Caspar"	"36,532"	3653200
1994	1183141	"History"	27551	"Caspar"	"36,532"	3653200
1994	1183141	"Languages"	13868	"Caspar"	"36,532"	3653200
1994	1183141	"Philosophy"	4716	"Caspar"	"36,532"	3653200
1994	1183141	"All Others"	1084428	"Caspar"	"36,532"	3653200
1995	1174436	"English"	50536	"Caspar"	"36,674"	3667400
1995	1174436	"History"	26639	"Caspar"	"36,674"	3667400
1995	1174436	"Languages"	13311	"Caspar"	"36,674"	3667400
1995	1174436	"Philosophy"	4461	"Caspar"	"36,674"	3667400
1995	1174436	"All Others"	1079489	"Caspar"	"36,674"	3667400
1996	1179466	"English"	49349	"Caspar"	"36,797"	3679700
1996	1179466	"History"	26051	"Caspar"	"36,797"	3679700
1996	1179466	"Languages"	13485	"Caspar"	"36,797"	3679700
1996	1179466	"Philosophy"	4578	"Caspar"	"36,797"	3679700
