year,Men-All,Women-All,Men-English,Women-English,Men-Languages,Women-Languages,Men-History,Women-History,Men-Philosophy,Women-Philosophy
1948,"175,987","96,157",4392,8222,1197,3044,5669,3576,1397,329
1949,"264,168","102,466",6206,8720,1762,2919,7232,3259,1809,337
1950,"329,819","103,915",8223,9023,2226,2934,10242,3325,2449,386
1951,"279,343","105,009",6829,8676,2071,2865,9000,3321,2333,321
1952,"227,029","104,892",5805,8282,1706,2712,7285,2931,2124,297
1953,"200,820","104,037",4987,7680,1567,2501,6713,2863,2282,278
1954,"187,500","105,380",4729,7837,1473,2320,6418,2967,1582,263
1955,"183,602","103,799",5121,7978,1413,2135,6707,2833,1473,301
1956,"199,571","111,717",5530,8876,1512,2467,7339,3201,2343,325
1957,"222,738","117,609",6169,9257,1724,2598,8161,3531,2526,307
1958,"242,948","122,800",6755,9914,1814,2689,9031,3852,2637,344
1959,"254,970","130,181",7828.976,10463.024,1863.897,2903.103,9470.993514634,4271.0064853661,2781.828,372.172
1960,"255,504","139,385",7597,12587,2098,3400,10014,4769,3052,414
1961,"223,424","141,910",8024,13864,2389,4135,10629,5139,3225,421
1962,"228,445","154,377",8553,15859,2777,5255,11429,5976,3254,471
1963,"239,108","171,313",9550,18538,3240,6621,12951,7120,3545,540
1964,"263,121","197,346",10938.4547286193,21793.0022713807,3688,8675,15217.9245778132,8266.7016621868,4183,627
1965,"279,777","213,207",12360,23823,4154,9937,16824,9030,4175,635
1966,"301,051","223,066",13244,25946,4545,10974,18829,9941,4294,730
1967,"324,236","238,133",14600,27830,4841,12184,20729,11064,4601,819
1968,"359,747","277,116",15735,32391,5321,14201,22921,12495,4728,1040
1969,"412,865","321,138",17539,36820,5915,16070,26592,14487,5026,1092
1971,"478,423","367,687",22025,41987,5581,15899,29182,15749,4624,1166
1972,"503,631","390,479",22606,41204,5278,15127,28832,15143,4652,1301
1973,"522,482","407,518",22049,38685,5193,15535,27121,14102,4583,1351
1975,"508,424","423,239",17714,29434,4785,14890,20864,10904,4003,1345
1977,"499,121","429,107",14205,23540,4010,11855,16582,9026,3325,1126
1978,"491,066","439,135",13057,22117,3715,10899,14824,8321,2955,1080
1980,"477,750","462,501",11268,21113,3254,9421,12121,7293,2666,1050
1981,"474,336","472,541",11114,20943,3046,8831,11418,6995,2599,1064
1982,"477,543","486,500",11346,21888,2960,8412,10754,6492,2429,988
1984,"488,106","497,894",11029,21381,3199,8047,10400,6337,2321,998
1985,"488,205","502,795",11199,21548,3213,8364,10115,6028,2290,1087
1986,"490,143","510,061",11719,22542,3389,8234,10451,6048,2210,1077
1987,"485,823","519,198",11719,23501,3389,8370,10451,6425,2210,1075
1988,"483,580","525,643",12659,25338,3239,8324,11424,6821,2438,1151
1989,"488,681","541,319",13665,27966,3454,9015,12496,7640,2651,1222
1990,"497,267","564,733",15259,31027,3620,9482,13921,8345,2918,1369
1991,"510,244","597,756",16866,34133,4016,9948,15165,9428,3086,1516
1992,"526,973","623,027",18287,35908,4239,10466,16466,10561,3310,1560
1993,"539,202","639,798",18978,36277,4454,10929,17234,10587,3332,1533
1994,"541,028","650,111",18180,34899,4586,10718,17291,10270,3234,1483
1995,"535,370","647,410",17539,33517,4517,10141,16618,10025,3035,1426
1996,"528,791","652,846",16982,32861,4532,10405,15957,10107,3224,1363
1997,"526,047","662,338",16290,32236,4405,10157,15564,9712,3142,1396
1998,"527,779","676,048",16223,32638,4594,10725,15701,10096,3342,1529
2000,"538,795","720,436",16072,33840,4632,11373,14911,10413,3296,1511
2001,"562,595","756,638",16791,36351,5935,14875,15801,11435,4000,1882
2002,"583,766","791,260",17331,37817,6169,15590,16568,11899,4411,2180
