year,General,Type,degrees,percent,relative
1997,Humanities,English,48725,0.04100102239594071,0
1997,Humanities,History,25276,0.021269201479318572,-0.048337112695028606
1997,Humanities,Languages and Literature,14562,0.012253604681984373,-0.08076236987568075
1997,Humanities,Philosophy,4538,0.003818627801596284,-0.17833820120336463
1997,Humanities,Religion,3185,0.0026801078774976125,-0.21682565205550863
1998,Humanities,English,49089,0.04077745390326019,-0.005452754092850509
1998,Humanities,History,25797,0.0214291588409298,-0.04118002761383044
1998,Humanities,Languages and Literature,15319,0.01272525038896785,-0.045380578705020214
1998,Humanities,Philosophy,4871,0.004046262461300502,-0.12935759516398027
1998,Humanities,Religion,3562,0.002958896917912624,-0.13535862351747863
1999,Humanities,English,49949,0.040830590122150894,-0.004156781071066429
1999,Humanities,History,24806,0.02027755547798905,-0.09270702934316022
1999,Humanities,Languages and Literature,15951,0.013039074716979899,-0.021838189420887
1999,Humanities,Philosophy,4795,0.003919651637384403,-0.15660069994694403
1999,Humanities,Religion,3786,0.003094849030059927,-0.09563104102850273
2e3,Humanities,English,50190,0.03985765915864524,-0.02788621284255266
2e3,Humanities,History,25324,0.020110686601584618,-0.10017336120685483
2e3,Humanities,Languages and Literature,16005,0.012710138171630145,-0.04651426297278993
2e3,Humanities,Philosophy,4807,0.0038174091965652054,-0.17860041089068734
2e3,Humanities,Religion,3781,0.0030026262059939758,-0.12258016151349149
2001,Humanities,English,50678,0.04006897702268161,-0.022732247119559013
2001,Humanities,History,25184,0.0199119364880069,-0.10906617775774785
2001,Humanities,Languages and Literature,16246,0.012845033361823384,-0.03639473176817121
2001,Humanities,Philosophy,4846,0.003831529710168418,-0.1755620716730506
2001,Humanities,Religion,3931,0.0031080774433908482,-0.09176546752985026
2002,Humanities,English,52494,0.039961510763435834,-0.025353310033746634
2002,Humanities,History,26091,0.019861999034724052,-0.11130056446107672
2002,Humanities,Languages and Literature,16397,0.0124823578311437,-0.06360182747415766
2002,Humanities,Philosophy,5399,0.004110035368076162,-0.11563545097546457
2002,Humanities,Religion,4157,0.0031645521439326928,-0.07526257332041408
2003,Humanities,English,53842,0.03927979981469728,-0.041979991733421707
2003,Humanities,History,27840,0.020310345582280974,-0.09123987857326288
2003,Humanities,Languages and Literature,17049,0.01243789805432142,-0.06693709908954248
2003,Humanities,Philosophy,5827,0.004251019529739628,-0.08529960629696132
2003,Humanities,Religion,4591,0.0033493102215607744,-0.021273034992966844
2004,Humanities,English,54112,0.038063135622429904,-0.0716539881649797
2004,Humanities,History,29881,0.02101871221787825,-0.05954493044093612
2004,Humanities,Languages and Literature,17852,0.012557345822213531,-0.05797639846875158
2004,Humanities,Philosophy,6336,0.004456830782519882,-0.04101478647206991
2004,Humanities,Religion,4865,0.0034221088631564435,0
2005,Humanities,English,54524,0.03733635727423501,-0.08937984731981996
2005,Humanities,History,31511,0.02157776307806506,-0.034530923390740265
2005,Humanities,Languages and Literature,18485,0.012657959141189827,-0.050428615486108885
2005,Humanities,Philosophy,6774,0.004638626736403565,-0.0018973866512300708
2005,Humanities,Religion,4866,0.0033320870533421532,-0.026305945665111574
2006,Humanities,English,55225,0.03669647348384923,-0.10498637986446036
2006,Humanities,History,33246,0.022091642506909037,-0.011538053561761852
2006,Humanities,Languages and Literature,19537,0.012982145811751245,-0.026108866767357908
2006,Humanities,Philosophy,6994,0.004647444736007996,0
2006,Humanities,Religion,5092,0.0033835843002220064,-0.01125755038047016
2007,Humanities,English,55256,0.035739557097525736,-0.12832522193241414
2007,Humanities,History,34554,0.02234951237780339,0
2007,Humanities,Languages and Literature,20398,0.013193417650125414,-0.01025973265055291
2007,Humanities,Philosophy,6987,0.004519188602874118,-0.027597129265499398
2007,Humanities,Religion,5135,0.003321315797303363,-0.029453494872197616
2008,Humanities,English,55130,0.03484225867327656,-0.15021000362356562
2008,Humanities,History,34518,0.021815437781319797,-0.02389647646245807
2008,Humanities,Languages and Literature,21092,0.01333018175107472,0
2008,Humanities,Philosophy,7189,0.004543460867081176,-0.022374417520484302
2008,Humanities,Religion,5177,0.003271873265945089,-0.043901466381984666
2009,Humanities,English,55571,0.034285266546646744,-0.16379483868575084
2009,Humanities,History,34815,0.02147957666447439,-0.03892414736497729
2009,Humanities,Languages and Literature,21296,0.013138850054477859,-0.014353269908074284
2009,Humanities,Philosophy,7462,0.004603780010636447,-0.009395426487428304
2009,Humanities,Religion,5125,0.003161936820492065,-0.07602681652400856
