year,total_degrees,gender,humanities,total,percent
1950,396666,men,23140,329819,0.07015969365015357
1950,396666,women,15668,103915,0.15077707741904442
1951,346652,men,20233,279343,0.07243066767379172
1951,346652,women,15183,105009,0.14458760677656202
1952,295693,men,16920,227029,0.07452792374542459
1952,295693,women,14222,104892,0.13558708004423597
1953,269540,men,15549,200820,0.07742754705706603
1953,269540,women,13322,104037,0.12805059738362312
1954,257800,men,14202,187500,0.075744
1954,257800,women,13387,105380,0.127035490605428
1955,253690,men,14714,183602,0.0801407392076339
1955,253690,women,13247,103799,0.12762165338779757
1956,278103,men,16724,199571,0.08379975046474689
1956,278103,women,14869,111717,0.13309523170153154
1957,306233,men,18580,222738,0.083416390557516
1957,306233,women,15693,117609,0.13343366579088334
1958,330134,men,20237,242948,0.08329766040469566
1958,330134,women,16799,122800,0.136799674267101
1959,346383,men,21945.694514634,254970,0.08607167319541123
1959,346383,women,18009.305485366098,130181,0.13834050656675012
1960,357976,men,22761,255504,0.0890827540860417
1960,357976,women,21170,139385,0.15188147935574128
1961,365337,men,24267,223424,0.10861411486680034
1961,365337,women,23559,141910,0.1660136706363188
1962,382822,men,26013,228445,0.11386985926590645
1962,382822,women,27561,154377,0.17853048057676985
1963,410421,men,29286,239108,0.12248021814410225
1963,410421,women,32819,171313,0.19157331901256763
1964,460467,men,34027.3793064325,263121,0.12932217233300458
1964,460467,women,39361.7039335675,197346,0.19945529138450996
1965,492984,men,37513,279777,0.13408178656572914
1965,492984,women,43425,213207,0.20367530146758783
1966,524117,men,40912,301051,0.13589724000252448
1966,524117,women,47591,223066,0.2133494122815669
1967,562369,men,44771,324236,0.13808152086751627
1967,562369,women,51897,238133,0.21793283585223383
1968,636863,men,48705,359747,0.13538681351060605
1968,636863,women,60127,277116,0.21697411914144257
1969,734003,men,55072,412865,0.13338984898211279
1969,734003,women,68469,321138,0.21320740616183698
1971,846110,men,61412,478423,0.12836339390037688
1971,846110,women,74801,367687,0.20343661864575033
1972,894110,men,61368,503631,0.12185111718698809
1972,894110,women,72775,390479,0.18637365901879485
1973,93e4,men,58946,522482,0.11281919759915174
1973,93e4,women,69673,407518,0.1709691351056886
1975,931663,men,47366,508424,0.09316239988670873
1975,931663,women,56573,423239,0.13366679346657562
1977,928228,men,38122,499121,0.07637827300394093
1977,928228,women,45547,429107,0.10614368910318406
1978,930201,men,34551,491066,0.07035917778872901
1978,930201,women,42417,439135,0.09659216414086784
1980,940251,men,29309,477750,0.06134798534798535
1980,940251,women,38877,462501,0.0840581966309262
1981,946877,men,28177,474336,0.0594030391958443
1981,946877,women,37833,472541,0.08006289401342952
1982,964043,men,27489,477543,0.05756340266740377
1982,964043,women,37780,486500,0.07765673175745118
1984,986345,men,26949,488106,0.0552113680225197
1984,986345,women,36763,497894,0.07383700145010785
1985,991e3,men,26817,488205,0.054929793836605526
1985,991e3,women,37027,502795,0.07364233932318341
1986,1000204,men,27769,490143,0.05665489459198642
1986,1000204,women,37901,510061,0.074306798598599
1987,1005021,men,27769,485823,0.05715867713138324
1987,1005021,women,39371,519198,0.07583041537139974
1988,1009223,men,29760,483580,0.061541006658670745
1988,1009223,women,41634,525643,0.07920584883656778
1989,1030171,men,32266,488681,0.06602671272261455
1989,1030171,women,45843,541319,0.0846875871713352
1990,1062151,men,35718,497267,0.07182861521074191
1990,1062151,women,50223,564733,0.08893229189723285
1991,1112534,men,39133,510244,0.07669467940828309
1991,1112534,women,55025,597756,0.09205261009508897
1992,1171556,men,42302,526973,0.08027356240262784
1992,1171556,women,58495,623027,0.0938883868596385
1993,1199042,men,43998,539202,0.08159836202387974
1993,1199042,women,59326,639798,0.09272614168847042
1994,1198663,men,43291,541028,0.08001619139859674
1994,1198663,women,57370,650111,0.08824646867996389
1995,1182780,men,41709,535370,0.07790686814726264
1995,1182780,women,55109,647410,0.08512225637540353
1996,1181637,men,40695,528791,0.07695857153393307
1996,1181637,women,54736,652846,0.08384213122237097
1997,1188385,men,39401,526047,0.07490015150737482
1997,1188385,women,53501,662338,0.08077597842793256
1998,1203827,men,39860,527779,0.07552403562854908
1998,1203827,women,54988,676048,0.08133741982817788
2e3,1259231,men,38280,538795,0.0710474299130467
2e3,1259231,women,55759,720436,0.07739618786401568
2001,1319233,men,37929,540162,0.07021782354182635
2001,1319233,women,56519,724607,0.07799952249978265
2002,1375026,men,39301,558439,0.0703765317250407
2002,1375026,women,58493,755175,0.0774562187572417
2003,1434727,men,41220,582026,0.07082157841745901
2003,1434727,women,60647,788704,0.07689450034486955
2004,1492185,men,42984,604109,0.07115272243916247
2004,1492185,women,62024,817529,0.07586764506213235
2005,1537430,men,44783,621067,0.07210655211112489
2005,1537430,women,63313,839279,0.07543736945640246
2006,1582839,men,46306,637593,0.07262626785425813
2006,1582839,women,65302,867320,0.07529170317760457
2007,1625987,men,47477,657963,0.07215755293230774
2007,1625987,women,65971,888111,0.07428238136899554
2008,1663025,men,48098,674697,0.0712882968206469
2008,1663025,women,65862,907577,0.07256904923769554
2009,1702829,men,48633,692459,0.07023231700360599
2009,1702829,women,66608,928383,0.07174625127775928
2010,1756771,men,48419,714596,0.06775716628696495
2010,1756771,women,65235,955816,0.06825058379437046
2011,1827639,men,48395,741010,0.0653095099931175
2011,1827639,women,64562,994415,0.06492460391285329
2012,1909557,men,48220,773537,0.06233703106638726
2012,1909557,women,65607,1039986,0.06308450306061812
2013,1960459,men,47506,795998,0.05968105447501124
2013,1960459,women,63745,1067489,0.05971490104347679
2014,1989331,men,44364,810541,0.054733813588701864
2014,1989331,women,60355,1082638,0.055748089389066335
2015,2014990,men,40069,821414,0.04878051749787561
2015,2014990,women,55621,1096992,0.0507031956477349
2016,2041439,men,36589,830726,0.04404460676564836
2016,2041439,women,52087,1113401,0.04678188720865169
2017,2079854,men,34782,845482,0.04113866409929484
2017,2079854,women,50199,1135056,0.04422601175624815
