Discipline,year,degrees,collegepop,total_degrees,years,alldeg,permille
English,1948,12614,2286.6,237937,65,2579958.457,5.516487361147555
English,1949,14926,2257,331685,65,2579958.457,6.613203367301728
English,1950,17246,2226,396666,65,2579958.457,7.747529200359389
English,1951,15505,2201.8,346652,65,2579958.457,7.041965664456353
English,1952,14087,2179.6,295693,65,2579958.457,6.4631124977060015
English,1953,12667,2165.8,269540,65,2579958.457,5.8486471511681595
English,1954,12566,2164.1,257800,65,2579958.457,5.806570860865949
English,1955,13099,2166.7,253690,65,2579958.457,6.0455992984723315
English,1956,14406,2186.9,278103,65,2579958.457,6.587406831588092
English,1957,15426,2231.1,306233,65,2579958.457,6.914078257361839
English,1958,16669,2316.2,330134,65,2579958.457,7.196701493826095
English,1959,18292,2389,346383,65,2579958.457,7.6567601506906655
English,1960,20184,2457.6,357976,65,2579958.457,8.212890625
English,1961,21888,2524.2,365337,65,2579958.457,8.671262182077491
English,1962,24412,2690.9,382822,65,2579958.457,9.072057675870527
English,1963,28088,2822.3,410421,65,2579958.457,9.952166672572016
English,1964,32731.457000000002,2951.9,460467,65,2579958.457,11.088267556489042
English,1965,36183,3077.3,492984,65,2579958.457,11.758034640756506
English,1966,39190,3201.2,524117,65,2579958.457,12.242284143446208
English,1967,42430,3319.6,562369,65,2579958.457,12.78166044101699
English,1968,48126,3409,636863,65,2579958.457,14.117336462305662
English,1969,54359,3523.6,734003,65,2579958.457,15.42711999091838
English,1971,64012,3794.8,846110,65,2579958.457,16.868346157900284
English,1972,63810,3844.9,894110,65,2579958.457,16.59601029935759
English,1973,60734,3924,93e4,65,2579958.457,15.477573904179408
English,1975,47148,4081.2,931663,65,2579958.457,11.552484563363716
English,1977,37745,4203.9,928228,65,2579958.457,8.9785675206356
English,1978,35174,4244.2,930201,65,2579958.457,8.287545356015269
English,1980,32381,4249.6648,940251,65,2579958.457,7.619659790579249
English,1981,32057,4220.4,946877,65,2579958.457,7.595725523647048
English,1982,33234,4164.4,964043,65,2579958.457,7.9805013927576605
English,1984,32410,4046,986345,65,2579958.457,8.01038062283737
English,1985,32747,3999.2,991e3,65,2579958.457,8.188387677535507
English,1986,34261,3955.7,1000204,65,2579958.457,8.661172485274415
English,1987,35220,3889,1005021,65,2579958.457,9.056312676780664
English,1988,37997,3815.1,1009223,65,2579958.457,9.959634085607192
English,1989,41631,3739.1,1030171,65,2579958.457,11.133962718301195
English,1990,46286,3692.1979,1062151,65,2579958.457,12.536164434739534
English,1991,50999,3650.4,1112534,65,2579958.457,13.970797720797721
English,1992,54195,3643.4,1171556,65,2579958.457,14.874842180380963
English,1993,55255,3646.4,1199042,65,2579958.457,15.153301886792452
English,1994,53079,3653.2,1198663,65,2579958.457,14.529453629694515
English,1995,51056,3667.4,1182780,65,2579958.457,13.921579320499536
English,1996,49843,3679.7,1181637,65,2579958.457,13.545397722640434
English,1997,48526,3730.8,1188385,65,2579958.457,13.006861799077946
English,1998,48861,3800.7,1203827,65,2579958.457,12.855789722945774
English,2e3,49912,3825.1336,1259231,65,2579958.457,13.048433131851917
English,2001,50367,3960.3036,1319233,65,2579958.457,12.717964350005893
English,2002,52113,4063.44,1375026,65,2579958.457,12.824847912113874
English,2003,53423,4137.0198,1434727,65,2579958.457,12.913402058167573
English,2004,53640,4191.7372,1492185,65,2579958.457,12.796603756552297
English,2005,54065,4216.2438,1537430,65,2579958.457,12.82302508218334
English,2006,54771,4232.2324,1582839,65,2579958.457,12.94139707450848
English,2007,54776,4243.4216,1625987,65,2579958.457,12.908451048088176
English,2008,54614,4264.4506,1663025,65,2579958.457,12.806807986004106
English,2009,55090,4307.9118,1702829,65,2579958.457,12.788098400714704
English,2010,52805,4342.36,1756771,65,2579958.457,12.16043810278282
English,2011,52244,4377.72,1827639,65,2579958.457,11.934066134882999
English,2012,53207,4413.08,1909557,65,2579958.457,12.05665884144407
English,2013,51868,4448.44,1960459,65,2579958.457,11.659817823776425
English,2014,49906,4483.8,1989331,65,2579958.457,11.130291270797091
English,2015,45302,4519.16,2014990,65,2579958.457,10.024429318722948
English,2016,42234,4554.52,2041439,65,2579958.457,9.272985956807743
English,2017,40776,4589.88,2079854,65,2579958.457,8.883892389343512
History,1948,9245,2286.6,237937,65,1579882.6262400001,4.043120790693607
History,1949,10491,2257,331685,65,1579882.6262400001,4.648205582631812
History,1950,13567,2226,396666,65,1579882.6262400001,6.094788858939802
History,1951,12321,2201.8,346652,65,1579882.6262400001,5.595876101371605
History,1952,10216,2179.6,295693,65,1579882.6262400001,4.6870985501926965
History,1953,9576,2165.8,269540,65,1579882.6262400001,4.421460892049127
History,1954,9385,2164.1,257800,65,1579882.6262400001,4.336675754355159
History,1955,9540,2166.7,253690,65,1579882.6262400001,4.403009184474086
History,1956,10540,2186.9,278103,65,1579882.6262400001,4.8196076638163605
History,1957,11692,2231.1,306233,65,1579882.6262400001,5.240464344941957
History,1958,12883,2316.2,330134,65,1579882.6262400001,5.5621276228304986
History,1959,13742.000000000098,2389,346383,65,1579882.6262400001,5.752197572205985
History,1960,14783,2457.6,357976,65,1579882.6262400001,6.015218098958334
History,1961,15768,2524.2,365337,65,1579882.6262400001,6.246731637746613
History,1962,17405,2690.9,382822,65,1579882.6262400001,6.468096176000595
History,1963,20071,2822.3,410421,65,1579882.6262400001,7.111575665237572
History,1964,23484.62624,2951.9,460467,65,1579882.6262400001,7.955766198041939
History,1965,25854,3077.3,492984,65,1579882.6262400001,8.401520813700321
History,1966,28770,3201.2,524117,65,1579882.6262400001,8.987254779457704
History,1967,31793,3319.6,562369,65,1579882.6262400001,9.577358717917821
History,1968,35416,3409,636863,65,1579882.6262400001,10.388970372543268
History,1969,41079,3523.6,734003,65,1579882.6262400001,11.658247247133614
History,1971,44931,3794.8,846110,65,1579882.6262400001,11.84014967850743
History,1972,43975,3844.9,894110,65,1579882.6262400001,11.4372285365029
History,1973,41223,3924,93e4,65,1579882.6262400001,10.505351681957187
History,1975,31768,4081.2,931663,65,1579882.6262400001,7.783985102420857
History,1977,25608,4203.9,928228,65,1579882.6262400001,6.091486476842932
History,1978,23145,4244.2,930201,65,1579882.6262400001,5.453324537015221
History,1980,19414,4249.6648,940251,65,1579882.6262400001,4.568360309264863
History,1981,18413,4220.4,946877,65,1579882.6262400001,4.362856601270022
History,1982,17246,4164.4,964043,65,1579882.6262400001,4.141292863317645
History,1984,16737,4046,986345,65,1579882.6262400001,4.1366782006920415
History,1985,16143,3999.2,991e3,65,1579882.6262400001,4.036557311462293
History,1986,16499,3955.7,1000204,65,1579882.6262400001,4.170943195894532
History,1987,16876,3889,1005021,65,1579882.6262400001,4.339418873746465
History,1988,18245,3815.1,1009223,65,1579882.6262400001,4.782312390238788
History,1989,20136,3739.1,1030171,65,1579882.6262400001,5.385253135781338
History,1990,22266,3692.1979,1062151,65,1579882.6262400001,6.030554321045467
History,1991,24593,3650.4,1112534,65,1579882.6262400001,6.737069910146833
History,1992,27027,3643.4,1171556,65,1579882.6262400001,7.418071032552012
History,1993,27821,3646.4,1199042,65,1579882.6262400001,7.629716981132075
History,1994,27561,3653.2,1198663,65,1579882.6262400001,7.544344684112559
History,1995,26643,3667.4,1182780,65,1579882.6262400001,7.264819763320063
History,1996,26064,3679.7,1181637,65,1579882.6262400001,7.0831861293040195
History,1997,25276,3730.8,1188385,65,1579882.6262400001,6.774954433365497
History,1998,25797,3800.7,1203827,65,1579882.6262400001,6.787433893756414
History,2e3,25394,3825.1336,1259231,65,1579882.6262400001,6.638722370376815
History,2001,25243,3960.3036,1319233,65,1579882.6262400001,6.374006275680481
History,2002,26175,4063.44,1375026,65,1579882.6262400001,6.441586439076251
History,2003,27917,4137.0198,1434727,65,1579882.6262400001,6.748094364933907
History,2004,29997,4191.7372,1492185,65,1579882.6262400001,7.156221530300135
History,2005,31593,4216.2438,1537430,65,1579882.6262400001,7.4931625158867705
History,2006,33354,4232.2324,1582839,65,1579882.6262400001,7.880947180499823
History,2007,34671,4243.4216,1625987,65,1579882.6262400001,8.170529178623214
History,2008,34642,4264.4506,1663025,65,1579882.6262400001,8.123437987533494
History,2009,34924,4307.9118,1702829,65,1579882.6262400001,8.106944065103654
History,2010,35409,4342.36,1756771,65,1579882.6262400001,8.15432161313203
History,2011,35206,4377.72,1827639,65,1579882.6262400001,8.04208583463538
History,2012,35334,4413.08,1909557,65,1579882.6262400001,8.006652949867213
History,2013,34421,4448.44,1960459,65,1579882.6262400001,7.737768745897439
History,2014,31315,4483.8,1989331,65,1579882.6262400001,6.984031401935858
History,2015,28274,4519.16,2014990,65,1579882.6262400001,6.2564724417812165
History,2016,25795,4554.52,2041439,65,1579882.6262400001,5.663604507170898
History,2017,24266,4589.88,2079854,65,1579882.6262400001,5.286848457911754
Languages,1948,4241,2286.6,237937,65,831773,1.8547187964663694
Languages,1949,4681,2257,331685,65,831773,2.0739920248116968
Languages,1950,5160,2226,396666,65,831773,2.3180592991913747
Languages,1951,4936,2201.8,346652,65,831773,2.2418021618675628
Languages,1952,4418,2179.6,295693,65,831773,2.026977427050835
Languages,1953,4068,2165.8,269540,65,831773,1.8782897774494411
Languages,1954,3793,2164.1,257800,65,831773,1.7526916501085903
Languages,1955,3548,2166.7,253690,65,831773,1.6375132690266305
Languages,1956,3979,2186.9,278103,65,831773,1.8194704833325712
Languages,1957,4322,2231.1,306233,65,831773,1.9371610416386535
Languages,1958,4503,2316.2,330134,65,831773,1.9441326310335896
Languages,1959,4767,2389,346383,65,831773,1.9953955629970699
Languages,1960,5498,2457.6,357976,65,831773,2.2371419270833335
Languages,1961,6524,2524.2,365337,65,831773,2.584581253466445
Languages,1962,8032,2690.9,382822,65,831773,2.9848749489018545
Languages,1963,9861,2822.3,410421,65,831773,3.4939588279063174
Languages,1964,12363,2951.9,460467,65,831773,4.188150005081472
Languages,1965,14091,3077.3,492984,65,831773,4.57901407077633
Languages,1966,15519,3201.2,524117,65,831773,4.847869548919156
Languages,1967,17025,3319.6,562369,65,831773,5.128629955416315
Languages,1968,19522,3409,636863,65,831773,5.726606042827809
Languages,1969,21985,3523.6,734003,65,831773,6.239357475309343
Languages,1971,21480,3794.8,846110,65,831773,5.660377358490566
Languages,1972,20405,3844.9,894110,65,831773,5.30703009180993
Languages,1973,20728,3924,93e4,65,831773,5.28236493374108
Languages,1975,19675,4081.2,931663,65,831773,4.820886013917476
Languages,1977,15865,4203.9,928228,65,831773,3.773876638359619
Languages,1978,14614,4244.2,930201,65,831773,3.443287309740352
Languages,1980,12675,4249.6648,940251,65,831773,2.9825881796606644
Languages,1981,11877,4220.4,946877,65,831773,2.814188228603924
Languages,1982,11372,4164.4,964043,65,831773,2.73076553645183
Languages,1984,11246,4046,986345,65,831773,2.7795353435491843
Languages,1985,11577,3999.2,991e3,65,831773,2.8948289657931587
Languages,1986,11623,3955.7,1000204,65,831773,2.938291579240084
Languages,1987,11759,3889,1005021,65,831773,3.0236564669580868
Languages,1988,11563,3815.1,1009223,65,831773,3.030851091714503
Languages,1989,12469,3739.1,1030171,65,831773,3.3347597015324544
Languages,1990,13102,3692.1979,1062151,65,831773,3.5485638513580215
Languages,1991,13964,3650.4,1112534,65,831773,3.8253342099495944
Languages,1992,14705,3643.4,1171556,65,831773,4.036065213811275
Languages,1993,15383,3646.4,1199042,65,831773,4.218681439227732
Languages,1994,15304,3653.2,1198663,65,831773,4.189203985546918
Languages,1995,14658,3667.4,1182780,65,831773,3.996836996237116
Languages,1996,14937,3679.7,1181637,65,831773,4.059298312362421
Languages,1997,14562,3730.8,1188385,65,831773,3.903184303634609
Languages,1998,15319,3800.7,1203827,65,831773,4.030573315441893
Languages,2e3,13559,3825.1336,1259231,65,831773,3.5447127912081293
Languages,2001,13656,3960.3036,1319233,65,831773,3.448220484914338
Languages,2002,13691,4063.44,1375026,65,831773,3.369312700568976
Languages,2003,14196,4137.0198,1434727,65,831773,3.431455658007728
Languages,2004,14569,4191.7372,1492185,65,831773,3.4756472805594782
Languages,2005,15263,4216.2438,1537430,65,831773,3.6200468293602945
Languages,2006,16011,4232.2324,1582839,65,831773,3.7831098311141895
Languages,2007,16539,4243.4216,1625987,65,831773,3.8975622879423533
Languages,2008,17073,4264.4506,1663025,65,831773,4.003563788498336
Languages,2009,17355,4307.9118,1702829,65,831773,4.028634012423375
Languages,2010,17559,4342.36,1756771,65,831773,4.043653681408267
Languages,2011,17564,4377.72,1827639,65,831773,4.012134170298694
Languages,2012,17398,4413.08,1909557,65,831773,3.9423713143654773
Languages,2013,17005,4448.44,1960459,65,831773,3.8226884031255906
Languages,2014,16036,4483.8,1989331,65,831773,3.5764307060975065
Languages,2015,15213,4519.16,2014990,65,831773,3.3663335664149976
Languages,2016,14365,4554.52,2041439,65,831773,3.154009643167666
Languages,2017,13668,4589.88,2079854,65,831773,2.9778556302125545
Philosophy,1948,1726,2286.6,237937,65,314677,0.754832502405318
Philosophy,1949,2146,2257,331685,65,314677,0.9508196721311475
Philosophy,1950,2835,2226,396666,65,314677,1.2735849056603774
Philosophy,1951,2654,2201.8,346652,65,314677,1.2053774184757924
Philosophy,1952,2421,2179.6,295693,65,314677,1.110754266837952
Philosophy,1953,2560,2165.8,269540,65,314677,1.1820112660448794
Philosophy,1954,1845,2164.1,257800,65,314677,0.8525484034933691
Philosophy,1955,1774,2166.7,253690,65,314677,0.8187566345133153
Philosophy,1956,2668,2186.9,278103,65,314677,1.2199917691709725
Philosophy,1957,2833,2231.1,306233,65,314677,1.2697772399264937
Philosophy,1958,2981,2316.2,330134,65,314677,1.2870218461272775
Philosophy,1959,3154,2389,346383,65,314677,1.320217664294684
Philosophy,1960,3466,2457.6,357976,65,314677,1.4103190104166667
Philosophy,1961,3646,2524.2,365337,65,314677,1.4444180334363363
Philosophy,1962,3725,2690.9,382822,65,314677,1.3842952172135716
Philosophy,1963,4085,2822.3,410421,65,314677,1.4474010558764128
Philosophy,1964,4810,2951.9,460467,65,314677,1.6294589925132965
Philosophy,1965,4810,3077.3,492984,65,314677,1.5630585253306468
Philosophy,1966,5024,3201.2,524117,65,314677,1.569411470698488
Philosophy,1967,5420,3319.6,562369,65,314677,1.6327268345583805
Philosophy,1968,5768,3409,636863,65,314677,1.6919917864476386
Philosophy,1969,6118,3523.6,734003,65,314677,1.7362924281984335
Philosophy,1971,5790,3794.8,846110,65,314677,1.525772109202066
Philosophy,1972,5953,3844.9,894110,65,314677,1.5482847408255092
Philosophy,1973,5934,3924,93e4,65,314677,1.5122324159021407
Philosophy,1975,5348,4081.2,931663,65,314677,1.3103989022836422
Philosophy,1977,4451,4203.9,928228,65,314677,1.0587787530626325
Philosophy,1978,4035,4244.2,930201,65,314677,0.9507092031478253
Philosophy,1980,3716,4249.6648,940251,65,314677,0.8744219073466689
Philosophy,1981,3663,4220.4,946877,65,314677,0.8679272106909298
Philosophy,1982,3417,4164.4,964043,65,314677,0.8205263663432908
Philosophy,1984,3319,4046,986345,65,314677,0.8203163618388531
Philosophy,1985,3377,3999.2,991e3,65,314677,0.8444188837767553
Philosophy,1986,3287,3955.7,1000204,65,314677,0.8309528022853099
Philosophy,1987,3285,3889,1005021,65,314677,0.8446901517099511
Philosophy,1988,3589,3815.1,1009223,65,314677,0.9407354984141962
Philosophy,1989,3873,3739.1,1030171,65,314677,1.0358107565991816
Philosophy,1990,4287,3692.1979,1062151,65,314677,1.1610970257038498
Philosophy,1991,4602,3650.4,1112534,65,314677,1.2606837606837606
Philosophy,1992,4870,3643.4,1171556,65,314677,1.336663556019103
Philosophy,1993,4865,3646.4,1199042,65,314677,1.3341926283457657
Philosophy,1994,4717,3653.2,1198663,65,314677,1.291196759005803
Philosophy,1995,4461,3667.4,1182780,65,314677,1.2163930850193598
Philosophy,1996,4587,3679.7,1181637,65,314677,1.2465690137782972
Philosophy,1997,4538,3730.8,1188385,65,314677,1.2163611021764769
Philosophy,1998,4871,3800.7,1203827,65,314677,1.2816060199436947
Philosophy,2e3,5174,3825.1336,1259231,65,314677,1.3526324936729006
Philosophy,2001,5182,3960.3036,1319233,65,314677,1.3084855413610208
Philosophy,2002,5815,4063.44,1375026,65,314677,1.4310534916228614
Philosophy,2003,6331,4137.0198,1434727,65,314677,1.5303286679942891
Philosophy,2004,6802,4191.7372,1492185,65,314677,1.6227162332600433
Philosophy,2005,7175,4216.2438,1537430,65,314677,1.7017516871296674
Philosophy,2006,7472,4232.2324,1582839,65,314677,1.76549851090408
Philosophy,2007,7462,4243.4216,1625987,65,314677,1.7584865948742874
Philosophy,2008,7631,4264.4506,1663025,65,314677,1.789445045980835
Philosophy,2009,7872,4307.9118,1702829,65,314677,1.8273354621605764
Philosophy,2010,7881,4342.36,1756771,65,314677,1.814911706998038
Philosophy,2011,7943,4377.72,1827639,65,314677,1.8144148095355572
Philosophy,2012,7888,4413.08,1909557,65,314677,1.787413779038676
Philosophy,2013,7957,4448.44,1960459,65,314677,1.7887169434678225
Philosophy,2014,7462,4483.8,1989331,65,314677,1.664213390427762
Philosophy,2015,6901,4519.16,2014990,65,314677,1.5270537002451783
Philosophy,2016,6282,4554.52,2041439,65,314677,1.3792891457277605
Philosophy,2017,6271,4589.88,2079854,65,314677,1.366266656208877
Religion,2e3,3414,3825.1336,1259231,19,83641,0.892517845651195
Religion,2001,3595,3960.3036,1319233,19,83641,0.9077586879955365
Religion,2002,3741,4063.44,1375026,19,83641,0.9206485145590928
Religion,2003,4088,4137.0198,1434727,19,83641,0.9881509389923635
Religion,2004,4399,4191.7372,1492185,19,83641,1.049445561615838
Religion,2005,4465,4216.2438,1537430,19,83641,1.0589994819559532
Religion,2006,4621,4232.2324,1582839,19,83641,1.0918587552044638
Religion,2007,4665,4243.4216,1625987,19,83641,1.0993486954018428
Religion,2008,4736,4264.4506,1663025,19,83641,1.1105768231903073
Religion,2009,4717,4307.9118,1702829,19,83641,1.0949620649150709
Religion,2010,4804,4342.36,1756771,19,83641,1.106310854005656
Religion,2011,5004,4377.72,1827639,19,83641,1.1430607713604342
Religion,2012,4889,4413.08,1909557,19,83641,1.107843048392506
Religion,2013,5012,4448.44,1960459,19,83641,1.1266871082896477
Religion,2014,4716,4483.8,1989331,19,83641,1.0517864311521476
Religion,2015,4366,4519.16,2014990,19,83641,0.9661087458731269
Religion,2016,4051,4554.52,2041439,19,83641,0.8894460887206554
Religion,2017,3641,4589.88,2079854,19,83641,0.7932669263684453
Study of the Arts,2e3,3818,3825.1336,1259231,19,122339,0.9981350716743592
Study of the Arts,2001,4173,3960.3036,1319233,19,122339,1.0537070945772944
Study of the Arts,2002,4352,4063.44,1375026,19,122339,1.0710137223633178
Study of the Arts,2003,5341,4137.0198,1434727,19,122339,1.2910259699506392
Study of the Arts,2004,5390,4191.7372,1492185,19,122339,1.2858630545827159
Study of the Arts,2005,5786,4216.2438,1537430,19,122339,1.3723115347362027
Study of the Arts,2006,6134,4232.2324,1582839,19,122339,1.44935330110889
Study of the Arts,2007,6562,4243.4216,1625987,19,122339,1.5463935989768258
Study of the Arts,2008,6886,4264.4506,1663025,19,122339,1.6147449333801638
Study of the Arts,2009,7192,4307.9118,1702829,19,122339,1.6694863622788192
Study of the Arts,2010,7370,4342.36,1756771,19,122339,1.697233762285946
Study of the Arts,2011,7396,4377.72,1827639,19,122339,1.6894639218588672
Study of the Arts,2012,7615,4413.08,1909557,19,122339,1.7255522220308719
Study of the Arts,2013,7565,4448.44,1960459,19,122339,1.7005961640485205
Study of the Arts,2014,7729,4483.8,1989331,19,122339,1.7237610954993532
