year,label,degrees,year_total,percent,relative
1998,Bachelor's Colleges,14250,121558,0.11722798993073265,1.0128520030111776
1998,Elite Liberal Arts Colleges,3865,11928,0.324027498323273,1.0600522245984643
1998,Elite Research Universities,10353,58222,0.17781938099000377,1.0293807210134138
1998,HBCU,1580,29490,0.05357748389284503,1.1404934817829018
1998,Masters College/University,31468,412266,0.07632936017037543,0.9364296760896834
1998,Research Universities,48283,498266,0.09690205633135715,1.0055929072087535
1999,Bachelor's Colleges,14337,126314,0.1135028579571544,0.9806667938034697
1999,Elite Liberal Arts Colleges,3817,12080,0.315976821192053,1.0337145271911923
1999,Elite Research Universities,10279,58191,0.17664243611555053,1.02256749088792
1999,HBCU,1516,29090,0.0521141285665177,1.1093433214926856
1999,Masters College/University,31171,413831,0.07532301833357095,0.9240835964399805
1999,Research Universities,48903,506554,0.0965405465162648,1.0018413696283732
2e3,Bachelor's Colleges,14815,130404,0.11360847826753781,0.981579355240322
2e3,Elite Liberal Arts Colleges,3832,12053,0.317929146270638,1.0401015361746972
2e3,Elite Research Universities,10739,60732,0.17682605545676086,1.0236304470673578
2e3,HBCU,1503,28981,0.05186156447327559,1.1039670387495255
2e3,Masters College/University,31400,425146,0.07385698089597456,0.9060978441716605
2e3,Research Universities,47805,516275,0.09259600019369522,0.9609071732417817
2001,Bachelor's Colleges,14469,130702,0.1107022080763875,0.9564691269907581
2001,Elite Liberal Arts Colleges,3816,12076,0.3159986750579662,1.0337860218615433
2001,Elite Research Universities,11032,60055,0.18369827657980184,1.0634131293330058
2001,HBCU,1522,28626,0.05316844826381611,1.1317864198824688
2001,Masters College/University,31768,427029,0.0743930740066834,0.9126747825462838
2001,Research Universities,48655,519379,0.09367918225419203,0.9721478036111382
2002,Bachelor's Colleges,15004,134081,0.11190250669371499,0.9668397292632191
2002,Elite Liberal Arts Colleges,3879,12248,0.3167047681254082,1.0360959971901456
2002,Elite Research Universities,11471,62334,0.18402476978855842,1.0653031697367272
2002,HBCU,1494,28517,0.052389802573903285,1.1152115404846232
2002,Masters College/University,33845,445304,0.07600425776548156,0.9324412299788917
2002,Research Universities,49702,535787,0.09276447543520093,0.9626555108345268
2003,Bachelor's Colleges,15394,138464,0.11117691241044604,0.9605705812242853
2003,Elite Liberal Arts Colleges,3785,12325,0.30709939148073023,1.0046721182509004
2003,Elite Research Universities,11456,65854,0.17396057946366203,1.0070424591472529
2003,HBCU,1564,29537,0.052950536615092934,1.1271477769878082
2003,Masters College/University,35517,459125,0.0773580179689627,0.9490495341231857
2003,Research Universities,52884,561398,0.09420054934289043,0.9775582465500826
2004,Bachelor's Colleges,16240,142127,0.1142640033209735,0.9872431038364436
2004,Elite Liberal Arts Colleges,3833,12335,0.31074179164977705,1.0165881884056123
2004,Elite Research Universities,11582,65914,0.17571380890250934,1.0171917498140788
2004,HBCU,1528,30071,0.05081307572079412,1.0816480625482654
2004,Masters College/University,36932,472866,0.07810246454598131,0.9581826103788696
2004,Research Universities,54418,578802,0.09401833442178845,0.9756673265925
2005,Bachelor's Colleges,16536,144270,0.11461842378872947,0.9903053032385395
2005,Elite Liberal Arts Colleges,3742,12395,0.3018959257765228,0.987649040197618
2005,Elite Research Universities,11900,66961,0.17771538656830096,1.0287787064737286
2005,HBCU,1534,30214,0.05077116568478189,1.0807559317608468
2005,Masters College/University,38402,483342,0.07945098915467723,0.9747266828000374
2005,Research Universities,56444,592623,0.09524436277363518,0.9883903322884582
2006,Bachelor's Colleges,16887,144663,0.11673337342651542,1.0085785072588849
2006,Elite Liberal Arts Colleges,3975,12456,0.3191233140655106,1.0440082423463926
2006,Elite Research Universities,12052,66802,0.18041376006706386,1.0443993527849211
2006,HBCU,1575,30656,0.051376565762004174,1.0936429654879958
2006,Masters College/University,40260,498476,0.08076617530232147,0.9908617497714769
2006,Research Universities,58073,605642,0.09588667892913635,0.9950559139552587
2007,Bachelor's Colleges,17287,149360,0.11574049276914837,1
2007,Elite Liberal Arts Colleges,3816,12484,0.3056712592117911,1
2007,Elite Research Universities,11616,67244,0.17274403664267443,1
2007,HBCU,1440,30653,0.046977457345121196,1
2007,Masters College/University,41543,509661,0.08151104361526583,1
2007,Research Universities,59510,617560,0.0963631064188095,1
2008,Bachelor's Colleges,17321,151640,0.11422447902927987,0.9869016132245758
2008,Elite Liberal Arts Colleges,3811,12619,0.30200491322608763,0.9880055913822007
2008,Elite Research Universities,11703,68710,0.17032455246688982,0.9859938193942441
2008,HBCU,1470,31405,0.04680783314758796,0.996389242689593
2008,Masters College/University,41846,523540,0.07992894525728693,0.9805903802993071
2008,Research Universities,60281,630436,0.09561795328946951,0.9922672363206989
2009,Bachelor's Colleges,17156,154936,0.11072959157329477,0.9567057209109335
2009,Elite Liberal Arts Colleges,3835,12607,0.30419608154200045,0.995173973262666
2009,Elite Research Universities,11817,69329,0.1704481530095631,0.9867093320398641
2009,HBCU,1508,31331,0.04813124381602885,1.0245604282588419
2009,Masters College/University,42322,536493,0.0788863973994069,0.9678001151813571
2009,Research Universities,61091,641085,0.09529313585561977,0.9888964708283742
2010,Bachelor's Colleges,16810,159939,0.10510257035494783,0.9080881534225145
2010,Elite Liberal Arts Colleges,3576,12475,0.28665330661322647,0.9377829873583645
2010,Elite Research Universities,11745,70289,0.16709584714535702,0.9673031289120513
2010,HBCU,1379,31335,0.04400829743098771,0.9367960702444905
2010,Masters College/University,42753,545838,0.078325437217636,0.9609181007095681
2010,Research Universities,59989,659156,0.09100880519937617,0.9444361912103302
2011,Bachelor's Colleges,17028,167778,0.10149125630297179,0.8768863331643354
2011,Elite Liberal Arts Colleges,3713,12861,0.28870227820542727,0.9444861742967908
2011,Elite Research Universities,11240,71373,0.15748252140165048,0.9116524336374471
2011,HBCU,1588,32523,0.0488269839805676,1.0393705138585685
2011,Masters College/University,42575,561231,0.07586002911457136,0.9306717930472416
2011,Research Universities,60078,679673,0.08839250639645829,0.9172857713022481
2012,Bachelor's Colleges,16994,173982,0.09767677116023497,0.8439291109210791
2012,Elite Liberal Arts Colleges,3598,12673,0.28391067624082694,0.9288105037186801
2012,Elite Research Universities,10877,71502,0.15212161897569298,0.8806186420800189
2012,HBCU,1508,33956,0.0444104134762634,0.945355836311043
2012,Masters College/University,43619,579514,0.07526824200968397,0.9234115853669101
2012,Research Universities,60549,707078,0.08563270247412591,0.8886461391349555
2013,Bachelor's Colleges,16541,177108,0.09339499062718792,0.8069344478554282
2013,Elite Liberal Arts Colleges,3531,13081,0.2699334913232933,0.8830843044234784
2013,Elite Research Universities,10759,72813,0.14776207545355913,0.8553816289427626
2013,HBCU,1459,33753,0.043225787337421856,0.9201389300374946
2013,Masters College/University,43854,598563,0.07326547080257216,0.8988410349447495
2013,Research Universities,57709,716022,0.08059668557670016,0.8363852990211217
2014,Bachelor's Colleges,16016,178705,0.08962256232338212,0.7743405974790508
2014,Elite Liberal Arts Colleges,3243,12995,0.24955752212389382,0.816424556130684
2014,Elite Research Universities,9871,73352,0.134570291198604,0.779015552802938
2014,HBCU,1368,33724,0.04056458308622939,0.8634903925987427
2014,Masters College/University,41875,610102,0.06863606413353833,0.8420461950837272
2014,Research Universities,53363,729243,0.07317588238762662,0.7593765405360897
2015,Bachelor's Colleges,14891,178775,0.08329464410571948,0.7196672669422259
2015,Elite Liberal Arts Colleges,2935,13006,0.22566507765646623,0.7382606995448963
2015,Elite Research Universities,9155,74533,0.12283149745750205,0.7110607106604914
2015,HBCU,1238,33413,0.037051447041570644,0.7887069487258784
2015,Masters College/University,37677,625101,0.06027345980889488,0.7394514551106366
2015,Research Universities,49013,740988,0.06614547064189974,0.6864190362898942
2016,Bachelor's Colleges,13858,177499,0.07807367928833402,0.6745580342746322
2016,Elite Liberal Arts Colleges,2844,12734,0.22333909219412595,0.7306512649243889
2016,Elite Research Universities,8685,75269,0.11538614834792545,0.6679602410044679
2016,HBCU,1175,33843,0.03471914428389918,0.73905967342664
2016,Masters College/University,35656,637119,0.05596442736757184,0.6865870547765937
2016,Research Universities,45385,757788,0.0598914208195432,0.6215181623477919
2017,Bachelor's Colleges,12963,176859,0.07329567621664716,0.6332759992895483
2017,Elite Liberal Arts Colleges,2674,13027,0.20526598602901666,0.6715253064953469
2017,Elite Research Universities,8284,75463,0.10977565164385196,0.6354815701738276
2017,HBCU,1026,33500,0.03062686567164179,0.6519481343283582
2017,Masters College/University,34573,647792,0.053370526341788724,0.6547643604429719
2017,Research Universities,43387,777064,0.055834525856300124,0.5794180774292843
