Bachelors,Discipline,year,degrees,percent,label
Business & Management,Business,1999,245539,0.20071477442997476,Business & Management: Business
Business & Management,Business,2e3,261863,0.2079546961597991,Business & Management: Business
Business & Management,Business,2001,279890,0.21216115727850957,Business & Management: Business
Business & Management,Business,2002,297332,0.2162373656934487,Business & Management: Business
Business & Management,Business,2003,311309,0.21698134906501376,Business & Management: Business
Business & Management,Business,2004,328671,0.22026156274188521,Business & Management: Business
Business & Management,Business,2005,333500,0.21692044515847875,Business & Management: Business
Business & Management,Business,2006,339134,0.21425678796137826,Business & Management: Business
Business & Management,Business,2007,348746,0.21448264961527982,Business & Management: Business
Business & Management,Business,2008,356461,0.21434494370198884,Business & Management: Business
Business & Management,Business,2009,369577,0.21703706009235219,Business & Management: Business
Business & Management,Business,2010,381870,0.21737039147390297,Business & Management: Business
Business & Management,Business,2011,389356,0.21303769508092135,Business & Management: Business
Business & Management,Business,2012,392571,0.2055822371366762,Business & Management: Business
Business & Management,Business,2013,386222,0.19700590524974,Business & Management: Business
Business & Management,Business,2014,382182,0.19211584195892992,Business & Management: Business
Business & Management,Business,2015,387439,0.19227837358994337,Business & Management: Business
Business & Management,Business,2016,396203,0.19408025417364907,Business & Management: Business
Business & Management,Business,2017,406705,0.19554497575310575,Business & Management: Business
Education,Education,1999,115895,0.09473785745874148,Education: Education
Education,Education,2e3,117390,0.0932235626346556,Education: Education
Education,Education,2001,118284,0.08966118949419852,Education: Education
Education,Education,2002,120074,0.08732489422018201,Education: Education
Education,Education,2003,112837,0.0786470178647227,Education: Education
Education,Education,2004,115060,0.07710840143815947,Education: Education
Education,Education,2005,114478,0.07446062584963217,Education: Education
Education,Education,2006,117832,0.07444345255581901,Education: Education
Education,Education,2007,117505,0.07226687544242359,Education: Education
Education,Education,2008,115050,0.0691811608364276,Education: Education
Education,Education,2009,114463,0.06721931562123971,Education: Education
Education,Education,2010,112615,0.06410340334625286,Education: Education
Education,Education,2011,113896,0.062318652644203804,Education: Education
Education,Education,2012,115563,0.06051822490766183,Education: Education
Education,Education,2013,114100,0.05820065607084871,Education: Education
Education,Education,2014,108426,0.05450375025573924,Education: Education
Education,Education,2015,103277,0.051254348656817154,Education: Education
Education,Education,2016,100444,0.049202547810637494,Education: Education
Education,Education,2017,98644,0.04742832910386979,Education: Education
Engineering,Computer and Electrical Engineering,1999,16541,0.013521367619181525,Engineering: Computer and Electrical Engineering
Engineering,Computer and Electrical Engineering,2e3,17712,0.014065727416177017,Engineering: Computer and Electrical Engineering
Engineering,Computer and Electrical Engineering,2001,18606,0.014103649620650787,Engineering: Computer and Electrical Engineering
Engineering,Computer and Electrical Engineering,2002,19143,0.013921918567358,Engineering: Computer and Electrical Engineering
Engineering,Computer and Electrical Engineering,2003,21117,0.014718479543495035,Engineering: Computer and Electrical Engineering
Engineering,Computer and Electrical Engineering,2004,21944,0.014705951339813762,Engineering: Computer and Electrical Engineering
Engineering,Computer and Electrical Engineering,2005,21848,0.014210728293320672,Engineering: Computer and Electrical Engineering
Engineering,Computer and Electrical Engineering,2006,20203,0.012763774458425652,Engineering: Computer and Electrical Engineering
Engineering,Computer and Electrical Engineering,2007,18827,0.011578813360746426,Engineering: Computer and Electrical Engineering
Engineering,Computer and Electrical Engineering,2008,17591,0.010577712301378512,Engineering: Computer and Electrical Engineering
Engineering,Computer and Electrical Engineering,2009,16501,0.009690344714589662,Engineering: Computer and Electrical Engineering
Engineering,Computer and Electrical Engineering,2010,16387,0.00932790898756867,Engineering: Computer and Electrical Engineering
Engineering,Computer and Electrical Engineering,2011,16597,0.009081115034205332,Engineering: Computer and Electrical Engineering
Engineering,Computer and Electrical Engineering,2012,17520,0.009174902870142132,Engineering: Computer and Electrical Engineering
Engineering,Computer and Electrical Engineering,2013,18571,0.009472781629200101,Engineering: Computer and Electrical Engineering
Engineering,Computer and Electrical Engineering,2014,20185,0.010146627182706145,Engineering: Computer and Electrical Engineering
Engineering,Computer and Electrical Engineering,2015,21576,0.010707745447868228,Engineering: Computer and Electrical Engineering
Engineering,Computer and Electrical Engineering,2016,23694,0.011606518735068743,Engineering: Computer and Electrical Engineering
Engineering,Computer and Electrical Engineering,2017,26016,0.012508570313108517,Engineering: Computer and Electrical Engineering
Engineering,Computer Science,1999,31257,0.025550897023925816,Engineering: Computer Science
Engineering,Computer Science,2e3,38543,0.030608363358271835,Engineering: Computer Science
Engineering,Computer Science,2001,46444,0.0352053049006506,Engineering: Computer Science
Engineering,Computer Science,2002,52609,0.038260367440324766,Engineering: Computer Science
Engineering,Computer Science,2003,59717,0.04162255258317436,Engineering: Computer Science
Engineering,Computer Science,2004,61710,0.0413554619567949,Engineering: Computer Science
Engineering,Computer Science,2005,56473,0.036732078858874875,Engineering: Computer Science
Engineering,Computer Science,2006,49103,0.031022106480823382,Engineering: Computer Science
Engineering,Computer Science,2007,43617,0.026824937714754176,Engineering: Computer Science
Engineering,Computer Science,2008,39888,0.02398520767877813,Engineering: Computer Science
Engineering,Computer Science,2009,39551,0.023226642252392928,Engineering: Computer Science
Engineering,Computer Science,2010,41097,0.02339348725588025,Engineering: Computer Science
Engineering,Computer Science,2011,44677,0.024445199516972445,Engineering: Computer Science
